R_fighter,B_fighter,Winner,Excitement
Brian Stann,Rodney Wallace,Brian Stann,14.669
James McSweeney,Darrill Schoonover,James McSweeney,12.785
Mark Bocek,Joe Brammer,Mark Bocek,15.241
Frankie Edgar,Matt Veach,Frankie Edgar,21.89
John Howard,Dennis Hallman,John Howard,10.941
Rogerio Nogueira,Luiz Cane,Rogerio Nogueira,24.388
Paulo Thiago,Jacob Volkmann,Paulo Thiago,15.139
Amir Sadollah,Phil Baroni,Amir Sadollah,15.732
Forrest Griffin,Tito Ortiz,Forrest Griffin,42.593
Josh Koscheck,Anthony Johnson,Josh Koscheck,15.742
Ben Saunders,Marcus Davis,Ben Saunders,13.838
Kendall Grove,Jake Rosholt,Kendall Grove,9.245
Brian Foster,Brock Larson,Brian Foster,14.87
Caol Uno,Fabricio Camoes,,10.749
George Sotiropoulos,Jason Dent,George Sotiropoulos,10.793
John Hathaway,Paul Taylor,John Hathaway,15.749
Matt Brown,James Wilks,Matt Brown,14.174
Nick Osipczak,Matthew Riddle,Nick Osipczak,26.513
Terry Etim,Shannon Gugerty,Terry Etim,18.847
Dan Hardy,Mike Swick,Dan Hardy,17.599
Ross Pearson,Aaron Riley,Ross Pearson,18.381
Dennis Siver,Paul Kelly,Dennis Siver,17.844
Randy Couture,Brandon Vera,Randy Couture,14.343
Michael Bisping,Denis Kang,Michael Bisping,14.918
Alexander Gustafsson,Jared Hamman,Alexander Gustafsson,29.754
Andre Winner,Rolando Delgado,Andre Winner,19.052
Cain Velasquez,Ben Rothwell,Cain Velasquez,17.604
Joe Stevenson,Spencer Fisher,Joe Stevenson,15.651
Anthony Johnson,Yoshiyuki Yoshida,Anthony Johnson,23.11
Lyoto Machida,Mauricio Rua,Lyoto Machida,28.181
Ryan Bader,Eric Schafer,Ryan Bader,20.951
Gleison Tibau,Josh Neer,Gleison Tibau,11.805
Chael Sonnen,Yushin Okami,Chael Sonnen,12.615
Pat Barry,Antoni Hardonk,Pat Barry,23.526
Jorge Rivera,Rob Kimmons,Jorge Rivera,9.728
Stefan Struve,Chase Gormley,Stefan Struve,18.05
Kyle Kingsbury,Razak Al-Hassan,Kyle Kingsbury,11.608
Paul Daley,Martin Kampmann,Paul Daley,22.789
Josh Koscheck,Frank Trigg,Josh Koscheck,19.102
Efrain Escudero,Cole Miller,Efrain Escudero,18.947
Junior Dos Santos,Mirko Filipovic,Junior Dos Santos,25.852
Vitor Belfort,Rich Franklin,Vitor Belfort,20.733
Rick Story,Brian Foster,Rick Story,7.096
Nik Lentz,Rafaello Oliveira,Nik Lentz,18.005
Tomasz Drwal,Drew McFedries,Tomasz Drwal,17.001
Tyson Griffin,Hermes Franca,Tyson Griffin,18.907
Jim Miller,Steve Lopez,Jim Miller,16.208
Rafael Dos Anjos,Rob Emerson,Rafael Dos Anjos,13.312
Vladimir Matyushenko,Igor Pokrajac,Vladimir Matyushenko,12.614
Eliot Marshall,Jason Brilz,Eliot Marshall,23.774
Gray Maynard,Roger Huerta,Gray Maynard,21.038
Nate Diaz,Melvin Guillard,Nate Diaz,13.863
CB Dollaway,Jay Silva,CB Dollaway,14.803
Mike Pyle,Chris Wilson,Mike Pyle,9.798
Nate Quarry,Tim Credeur,Nate Quarry,15.438
Brian Stann,Steve Cantwell,Brian Stann,20.638
Mike Pierce,Brock Larson,Mike Pierce,11.854
Ryan Jensen,Steve Steinbeiss,Ryan Jensen,15.934
Jeremy Stephens,Justin Buchholz,Jeremy Stephens,19.094
Carlos Condit,Jake Ellenberger,Carlos Condit,11.699
Nate Marquardt,Demian Maia,Nate Marquardt,29.146
Thiago Silva,Keith Jardine,Thiago Silva,17.487
Antonio Rodrigo Nogueira,Randy Couture,Antonio Rodrigo Nogueira,10.971
Brandon Vera,Krzysztof Soszynski,Brandon Vera,16.68
Gabriel Gonzaga,Chris Tuchscherer,Gabriel Gonzaga,16.98
Jake Rosholt,Chris Leben,Jake Rosholt,14.092
Aaron Simpson,Ed Herman,Aaron Simpson,17.191
Todd Duffee,Tim Hague,Todd Duffee,18.751
Mike Russow,Justin McCully,Mike Russow,15.829
Mark Munoz,Nick Catone,Mark Munoz,26.099
Evan Dunham,Marcus Aurelio,Evan Dunham,21.118
Anderson Silva,Forrest Griffin,Anderson Silva,20.173
Johny Hendricks,Amir Sadollah,Johny Hendricks,33.367
Aaron Riley,Shane Nelson,Aaron Riley,41.702
Ricardo Almeida,Kendall Grove,Ricardo Almeida,12.391
BJ Penn,Kenny Florian,BJ Penn,16.386
John Howard,Tamdan McCrory,John Howard,13.652
Kurt Pellegrino,Josh Neer,Kurt Pellegrino,9.715
Alessio Sakara,Thales Leites,Alessio Sakara,17.379
Matthew Riddle,Dan Cramer,Matthew Riddle,17.016
Jesse Lennox,Danillo Villefort,Jesse Lennox,20.851
George Sotiropoulos,George Roop,George Sotiropoulos,9.202
Mark Coleman,Stephan Bonnar,Mark Coleman,11.267
Yoshihiro Akiyama,Alan Belcher,Yoshihiro Akiyama,22.835
Brock Lesnar,Frank Mir,Brock Lesnar,46.33
Jim Miller,Mac Danzig,Jim Miller,13.664
Dan Henderson,Michael Bisping,Dan Henderson,23.152
Jon Fitch,Paulo Thiago,Jon Fitch,14.788
Georges St-Pierre,Thiago Alves,Georges St-Pierre,15.946
Tom Lawlor,CB Dollaway,Tom Lawlor,19.957
Jon Jones,Jake O'Brien,Jon Jones,25.224
Dong Hyun Kim,TJ Grant,Dong Hyun Kim,20.593
Shannon Gugerty,Matt Grice,Shannon Gugerty,11.144
Chris Lytle,Kevin Burns,Chris Lytle,19.799
Brad Blackburn,Edgar Garcia,Brad Blackburn,25.183
James Wilks,DaMarques Johnson,James Wilks,15.385
Ross Pearson,Andre Winner,Ross Pearson,14.91
Melvin Guillard,Gleison Tibau,Melvin Guillard,9.513
Diego Sanchez,Clay Guida,Diego Sanchez,17.06
Tomasz Drwal,Mike Ciesnolevicz,Tomasz Drwal,18.717
Joe Stevenson,Nate Diaz,Joe Stevenson,9.71
Nick Osipczak,Frank Lester,Nick Osipczak,19.074
Jason Dent,Cameron Dollar,Jason Dent,18.538
Mirko Filipovic,Mostapha Al-Turk,Mirko Filipovic,18.87
Cain Velasquez,Cheick Kongo,Cain Velasquez,18.281
Rich Franklin,Wanderlei Silva,Rich Franklin,17.874
Mike Swick,Ben Saunders,Mike Swick,15.041
Dennis Siver,Dale Hartt,Dennis Siver,13.544
Dan Hardy,Marcus Davis,Dan Hardy,12.022
Terry Etim,Justin Buchholz,Terry Etim,19.073
Spencer Fisher,Caol Uno,Spencer Fisher,17.149
Paul Kelly,Rolando Delgado,Paul Kelly,13.825
John Hathaway,Rick Story,John Hathaway,18.07
Paul Taylor,Peter Sobotta,Paul Taylor,20.756
Stefan Struve,Denis Stojnic,Stefan Struve,16.228
Lyoto Machida,Rashad Evans,Lyoto Machida,33.782
Kyle Bradley,Phillipe Nover,Kyle Bradley,20.472
Brock Larson,Mike Pyle,Brock Larson,9.553
Drew McFedries,Xavier Foupa-Pokam,Drew McFedries,17.103
Tim Hague,Pat Barry,Tim Hague,16.075
Chael Sonnen,Dan Miller,Chael Sonnen,16.307
Matt Hughes,Matt Serra,Matt Hughes,13.962
Frankie Edgar,Sean Sherk,Frankie Edgar,27.043
Krzysztof Soszynski,Andre Gusmao,Krzysztof Soszynski,20.861
Yoshiyuki Yoshida,Brandon Wolff,Yoshiyuki Yoshida,14.335
George Roop,David Kaplan,George Roop,14.302
Nate Quarry,Jason MacDonald,Nate Quarry,10.927
Krzysztof Soszynski,Brian Stann,Krzysztof Soszynski,17.061
Denis Kang,Xavier Foupa-Pokam,Denis Kang,14.34
Anderson Silva,Thales Leites,Anderson Silva,25.328
Luiz Cane,Steve Cantwell,Luiz Cane,27.078
Sam Stout,Matt Wiman,Sam Stout,13.133
Cheick Kongo,Antoni Hardonk,Cheick Kongo,14.725
Mark Bocek,David Bielkheden,Mark Bocek,12.255
Ed Herman,David Loiseau,Ed Herman,13.441
Mauricio Rua,Chuck Liddell,Mauricio Rua,22.601
Eliot Marshall,Vinny Magalhaes,Eliot Marshall,22.105
TJ Grant,Ryo Chonan,TJ Grant,13.279
Tyson Griffin,Rafael Dos Anjos,Tyson Griffin,15.951
Gleison Tibau,Jeremy Stephens,Gleison Tibau,10.61
Cole Miller,Junie Browning,Cole Miller,10.915
Ricardo Almeida,Matt Horwich,Ricardo Almeida,15.409
Brock Larson,Jesse Sanders,Brock Larson,10.559
Tim Credeur,Nick Catone,Tim Credeur,19.694
Martin Kampmann,Carlos Condit,Martin Kampmann,15.867
Ryan Bader,Carmelo Marrero,Ryan Bader,16.024
Jorge Rivera,Nissen Osterneck,Jorge Rivera,14.056
Rob Kimmons,Joe Vedepo,Rob Kimmons,11.86
Aaron Simpson,Tim McKenzie,Aaron Simpson,17.172
Quinton Jackson,Keith Jardine,Quinton Jackson,16.547
Kendall Grove,Jason Day,Kendall Grove,18.843
Tamdan McCrory,Ryan Madigan,Tamdan McCrory,10.519
Shane Carwin,Gabriel Gonzaga,Shane Carwin,23.425
Matt Hamill,Mark Munoz,Matt Hamill,27.659
Matt Brown,Pete Sell,Matt Brown,12.978
Gray Maynard,Jim Miller,Gray Maynard,29.271
Shane Nelson,Aaron Riley,Shane Nelson,18.62
Jason Brilz,Tim Boetsch,Jason Brilz,19.687
Brandon Vera,Michael Patt,Brandon Vera,20.872
Junior Dos Santos,Stefan Struve,Junior Dos Santos,29.495
Paulo Thiago,Josh Koscheck,Paulo Thiago,24.147
Demian Maia,Chael Sonnen,Demian Maia,17.793
Evan Dunham,Per Eklund,Evan Dunham,23.92
Diego Sanchez,Joe Stevenson,Diego Sanchez,24.277
Dan Hardy,Rory Markham,Dan Hardy,19.696
Nate Marquardt,Wilson Gouveia,Nate Marquardt,17.489
Terry Etim,Brian Cobb,Terry Etim,16.127
Paul Kelly,Troy Mandaloniz,Paul Kelly,18.624
Mike Ciesnolevicz,Neil Grove,Mike Ciesnolevicz,12.487
Gleison Tibau,Rich Clementi,Gleison Tibau,10.246
Josh Neer,Mac Danzig,Josh Neer,13.999
Matt Veach,Matt Grice,Matt Veach,20.682
Dan Miller,Jake Rosholt,Dan Miller,15.977
Kurt Pellegrino,Rob Emerson,Kurt Pellegrino,13.642
Joe Lauzon,Jeremy Stephens,Joe Lauzon,12.898
Cain Velasquez,Denis Stojnic,Cain Velasquez,28.199
Anthony Johnson,Luigi Fioravanti,Anthony Johnson,24.435
Nick Catone,Derek Downey,Nick Catone,23.373
Matthew Riddle,Steve Bruno,Matthew Riddle,21.148
Karo Parisyan,Dong Hyun Kim,,19.096
Lyoto Machida,Thiago Silva,Lyoto Machida,22.409
Jon Fitch,Akihiro Gono,Jon Fitch,10.996
Thiago Tavares,Manvel Gamburyan,Thiago Tavares,14.577
Jon Jones,Stephan Bonnar,Jon Jones,26.713
Clay Guida,Nate Diaz,Clay Guida,15.806
John Howard,Chris Wilson,John Howard,14.68
Georges St-Pierre,BJ Penn,Georges St-Pierre,47.314
Dan Cramer,Matt Arroyo,Dan Cramer,8.957
Jake O'Brien,Christian Wellisch,Jake O'Brien,14.612
Marcus Davis,Chris Lytle,Marcus Davis,19.556
Mauricio Rua,Mark Coleman,Mauricio Rua,16.547
Eric Schafer,Antonio Mendes,Eric Schafer,13.559
Martin Kampmann,Alexandre Barros,Martin Kampmann,18.22
Dan Henderson,Rich Franklin,Dan Henderson,17.932
Alan Belcher,Denis Kang,Alan Belcher,10.95
Rousimar Palhares,Jeremy Horn,Rousimar Palhares,9.036
Dennis Siver,Nate Mohr,Dennis Siver,16.943
Tomasz Drwal,Ivan Serati,Tomasz Drwal,21.124
John Hathaway,Tom Egan,John Hathaway,13.583
Cheick Kongo,Mostapha Al-Turk,Cheick Kongo,16.875
Quinton Jackson,Wanderlei Silva,Quinton Jackson,21.381
CB Dollaway,Mike Massenzio,CB Dollaway,18.094
Yushin Okami,Dean Lister,Yushin Okami,11.344
Rashad Evans,Forrest Griffin,Rashad Evans,24.701
Matt Hamill,Reese Andy,Matt Hamill,21.441
Antoni Hardonk,Mike Wessel,Antoni Hardonk,15.636
Brad Blackburn,Ryo Chonan,Brad Blackburn,18.002
Frank Mir,Antonio Rodrigo Nogueira,Frank Mir,20.412
Pat Barry,Dan Evensen,Pat Barry,19.681
Wilson Gouveia,Jason MacDonald,Wilson Gouveia,16.025
Efrain Escudero,Phillipe Nover,Efrain Escudero,15.334
Eliot Marshall,Jules Bruchez,Eliot Marshall,18.107
Junie Browning,David Kaplan,Junie Browning,13.138
Tom Lawlor,Kyle Kingsbury,Tom Lawlor,20.986
Ryan Bader,Vinny Magalhaes,Ryan Bader,27.057
Anthony Johnson,Kevin Burns,Anthony Johnson,44.197
Shane Nelson,George Roop,Shane Nelson,7.125
Krzysztof Soszynski,Shane Primm,Krzysztof Soszynski,9.115
Rolando Delgado,John Polakowski,Rolando Delgado,13.762
Josh Koscheck,Yoshiyuki Yoshida,Josh Koscheck,19.854
Jim Miller,Matt Wiman,Jim Miller,16.413
Ben Saunders,Brandon Wolff,Ben Saunders,15.953
Steve Bruno,Johnny Rees,Steve Bruno,12.409
Luigi Fioravanti,Brodie Farber,Luigi Fioravanti,12.316
Tim Credeur,Nate Loughran,Tim Credeur,24.554
Mike Swick,Jonathan Goulet,Mike Swick,24.683
Dale Hartt,Corey Hill,Dale Hartt,14.761
Steve Cantwell,Razak Al-Hassan,Steve Cantwell,21.634
Justin McCully,Eddie Sanchez,Justin McCully,13.187
Kenny Florian,Joe Stevenson,Kenny Florian,12.875
Mark Bocek,Alvin Robinson,Mark Bocek,8.655
Demian Maia,Nate Quarry,Demian Maia,17.61
Jeremy Stephens,Rafael Dos Anjos,Jeremy Stephens,17.631
Brock Lesnar,Randy Couture,Brock Lesnar,18.375
Dustin Hazelett,Tamdan McCrory,Dustin Hazelett,24.423
Aaron Riley,Jorge Gurgel,Aaron Riley,18.287
Gabriel Gonzaga,Josh Hendricks,Gabriel Gonzaga,21.877
Matt Brown,Ryan Thomas,Matt Brown,13.692
Thales Leites,Drew McFedries,Thales Leites,8.214
Junior Dos Santos,Fabricio Werdum,Junior Dos Santos,30.627
Spencer Fisher,Shannon Gugerty,Spencer Fisher,16.029
Thiago Alves,Josh Koscheck,Thiago Alves,18.344
Anderson Silva,Patrick Cote,Anderson Silva,22.734
Gray Maynard,Rich Clementi,Gray Maynard,16.036
Dan Miller,Matt Horwich,Dan Miller,17.766
Sean Sherk,Tyson Griffin,Sean Sherk,22.135
Hermes Franca,Marcus Aurelio,Hermes Franca,20.057
Pete Sell,Joshua Burkman,Pete Sell,17.931
Michael Bisping,Chris Leben,Michael Bisping,25.898
David Bielkheden,Jess Liaudin,David Bielkheden,12.571
Chris Lytle,Paul Taylor,Chris Lytle,14.915
Marcus Davis,Paul Kelly,Marcus Davis,21.837
Dan Hardy,Akihiro Gono,Dan Hardy,18.942
Keith Jardine,Brandon Vera,Keith Jardine,20.872
Luiz Cane,Rameau Thierry Sokoudjou,Luiz Cane,23.115
Shane Carwin,Neil Wain,Shane Carwin,22.58
Per Eklund,Samy Schiavo,Per Eklund,13.602
Jim Miller,David Baron,Jim Miller,18.227
Terry Etim,Sam Stout,Terry Etim,21.655
Nate Diaz,Josh Neer,Nate Diaz,14.488
Alessio Sakara,Joe Vedepo,Alessio Sakara,22.942
Clay Guida,Mac Danzig,Clay Guida,11.608
Wilson Gouveia,Ryan Jensen,Wilson Gouveia,13.791
Alan Belcher,Ed Herman,Alan Belcher,15.839
Eric Schafer,Houston Alexander,Eric Schafer,14.117
Jason Brilz,Brad Morris,Jason Brilz,18.426
Joe Lauzon,Kyle Bradley,Joe Lauzon,19.371
Mike Massenzio,Drew McFedries,Mike Massenzio,1.945
Dan Miller,Rob Kimmons,Dan Miller,9.156
Rashad Evans,Chuck Liddell,Rashad Evans,24.61
Rich Franklin,Matt Hamill,Rich Franklin,23.347
Kurt Pellegrino,Thiago Tavares,Kurt Pellegrino,16.884
Tim Boetsch,Michael Patt,Tim Boetsch,28.164
Jason MacDonald,Jason Lambert,Jason MacDonald,7.614
Dong Hyun Kim,Matt Brown,Dong Hyun Kim,18.527
Nate Marquardt,Martin Kampmann,Nate Marquardt,23.985
Dan Henderson,Rousimar Palhares,Dan Henderson,18.795
Ryo Chonan,Roan Carneiro,Ryo Chonan,8.755
Tamdan McCrory,Luke Cummo,Tamdan McCrory,17.741
Demian Maia,Jason MacDonald,Demian Maia,16.944
Brock Lesnar,Heath Herring,Brock Lesnar,13.277
Kenny Florian,Roger Huerta,Kenny Florian,17.985
Georges St-Pierre,Jon Fitch,Georges St-Pierre,20.215
Jon Jones,Andre Gusmao,Jon Jones,27.307
Chris Wilson,Steve Bruno,Chris Wilson,13.072
Ben Saunders,Ryan Thomas,Ben Saunders,14.935
Rob Emerson,Manvel Gamburyan,Rob Emerson,19.826
Cheick Kongo,Dan Evensen,Cheick Kongo,14.594
Rory Markham,Brodie Farber,Rory Markham,19.109
Brandon Vera,Reese Andy,Brandon Vera,25.778
Anderson Silva,James Irvin,Anderson Silva,22.56
Frankie Edgar,Hermes Franca,Frankie Edgar,18.31
Cain Velasquez,Jake O'Brien,Cain Velasquez,26.685
Tim Credeur,Cale Yarbrough,Tim Credeur,22.871
Kevin Burns,Anthony Johnson,Kevin Burns,20.741
CB Dollaway,Jesse Taylor,CB Dollaway,14.164
Nate Loughran,Johnny Rees,Nate Loughran,13.771
Shannon Gugerty,Dale Hartt,Shannon Gugerty,10.52
Brad Blackburn,James Giboo,Brad Blackburn,14.374
Cole Miller,Jorge Gurgel,Cole Miller,14.59
Tyson Griffin,Marcus Aurelio,Tyson Griffin,15.597
Forrest Griffin,Quinton Jackson,Forrest Griffin,14.06
Patrick Cote,Ricardo Almeida,Patrick Cote,16.766
Josh Koscheck,Chris Lytle,Josh Koscheck,13.112
Melvin Guillard,Dennis Siver,Melvin Guillard,13.027
Joe Stevenson,Gleison Tibau,Joe Stevenson,9.853
Gabriel Gonzaga,Justin McCully,Gabriel Gonzaga,13.686
Justin Buchholz,Corey Hill,Justin Buchholz,14.717
Dustin Hazelett,Joshua Burkman,Dustin Hazelett,13.681
Spencer Fisher,Jeremy Stephens,Spencer Fisher,16.999
Diego Sanchez,Luigi Fioravanti,Diego Sanchez,22.687
Kendall Grove,Evan Tanner,Kendall Grove,15.182
Dean Lister,Jeremy Horn,Dean Lister,9.841
Drew McFedries,Marvin Eastman,Drew McFedries,20.681
Matt Brown,Matt Arroyo,Matt Brown,16.929
Amir Sadollah,CB Dollaway,Amir Sadollah,17.104
Matthew Riddle,Dante Rivera,Matthew Riddle,22.271
Rob Kimmons,Rob Yundt,Rob Kimmons,13.178
Thales Leites,Nate Marquardt,Thales Leites,15.575
Thiago Alves,Matt Hughes,Thiago Alves,15.561
Martin Kampmann,Jorge Rivera,Martin Kampmann,15.412
Kevin Burns,Roan Carneiro,Kevin Burns,10.742
Michael Bisping,Jason Day,Michael Bisping,21.568
Matt Wiman,Thiago Tavares,Matt Wiman,16.983
Mike Swick,Marcus Davis,Mike Swick,14.218
Fabricio Werdum,Brandon Vera,Fabricio Werdum,19.713
Paul Taylor,Jess Liaudin,Paul Taylor,11.752
Antoni Hardonk,Eddie Sanchez,Antoni Hardonk,16.16
Luiz Cane,Jason Lambert,Luiz Cane,15.741
Wanderlei Silva,Keith Jardine,Wanderlei Silva,18.465
BJ Penn,Sean Sherk,BJ Penn,28.387
Rousimar Palhares,Ivan Salaverry,Rousimar Palhares,2.548
Rameau Thierry Sokoudjou,Kazuhiro Nakamura,Rameau Thierry Sokoudjou,21.485
Thiago Silva,Antonio Mendes,Thiago Silva,16.663
Rich Clementi,Terry Etim,Rich Clementi,16.575
Goran Reljic,Wilson Gouveia,Goran Reljic,18.915
Shane Carwin,Christian Wellisch,Shane Carwin,25.508
Lyoto Machida,Tito Ortiz,Lyoto Machida,27.32
Dong Hyun Kim,Jason Tan,Dong Hyun Kim,16.523
Yoshiyuki Yoshida,War Machine,Yoshiyuki Yoshida,10.609
Georges St-Pierre,Matt Serra,Georges St-Pierre,43.34
Jason Day,Alan Belcher,Jason Day,14.242
Nate Quarry,Kalib Starnes,Nate Quarry,22.782
Rich Franklin,Travis Lutter,Rich Franklin,14.843
Cain Velasquez,Brad Morris,Cain Velasquez,17.74
Jason MacDonald,Joe Doerksen,Jason MacDonald,14.288
Michael Bisping,Charles McCarthy,Michael Bisping,18.625
Mac Danzig,Mark Bocek,Mac Danzig,16.088
Rich Clementi,Sam Stout,Rich Clementi,15.081
Jonathan Goulet,Kuniyoshi Hironaka,Jonathan Goulet,17.484
Demian Maia,Ed Herman,Demian Maia,19.298
Kenny Florian,Joe Lauzon,Kenny Florian,12.426
Nate Diaz,Kurt Pellegrino,Nate Diaz,11.377
Matt Hamill,Tim Boetsch,Matt Hamill,20.324
James Irvin,Houston Alexander,James Irvin,17.962
Thiago Alves,Karo Parisyan,Thiago Alves,13.423
Josh Neer,Din Thomas,Josh Neer,11.182
Gray Maynard,Frankie Edgar,Gray Maynard,26.459
Marcus Aurelio,Ryan Roberts,Marcus Aurelio,14.48
Manvel Gamburyan,Jeff Cox,Manvel Gamburyan,14.013
Clay Guida,Samy Schiavo,Clay Guida,12.712
George Sotiropoulos,Roman Mitichyan,George Sotiropoulos,11.832
Anthony Johnson,Tommy Speer,Anthony Johnson,25.953
Yushin Okami,Evan Tanner,Yushin Okami,17.02
Josh Koscheck,Dustin Hazelett,Josh Koscheck,17.895
Chris Leben,Alessio Sakara,Chris Leben,20.071
Luigi Fioravanti,Luke Cummo,Luigi Fioravanti,10.381
Anderson Silva,Dan Henderson,Anderson Silva,18.272
Jon Fitch,Chris Wilson,Jon Fitch,16.244
Andrei Arlovski,Jake O'Brien,Andrei Arlovski,15.907
Heath Herring,Cheick Kongo,Heath Herring,13.354
Diego Sanchez,David Bielkheden,Diego Sanchez,14.647
Jorge Gurgel,John Halverson,Jorge Gurgel,13.082
Nate Marquardt,Jeremy Horn,Nate Marquardt,13.808
Chris Lytle,Kyle Bradley,Chris Lytle,19.519
Ricardo Almeida,Rob Yundt,Ricardo Almeida,19.306
Tyson Griffin,Gleison Tibau,Tyson Griffin,19.228
Tim Boetsch,David Heath,Tim Boetsch,28.048
Frank Mir,Brock Lesnar,Frank Mir,22.825
Marvin Eastman,Terry Martin,Marvin Eastman,13.324
Antonio Rodrigo Nogueira,Tim Sylvia,Antonio Rodrigo Nogueira,19.485
Rob Emerson,Keita Nakamura,Rob Emerson,18.494
Mike Swick,Joshua Burkman,Mike Swick,19.47
Jeremy Stephens,Cole Miller,Jeremy Stephens,17.949
Corey Hill,Joe Veres,Corey Hill,11.882
Kurt Pellegrino,Alberto Crane,Kurt Pellegrino,13.648
Thiago Tavares,Michihiro Omigawa,Thiago Tavares,16.853
Patrick Cote,Drew McFedries,Patrick Cote,22.36
Gray Maynard,Dennis Siver,Gray Maynard,14.913
Matt Wiman,Justin Buchholz,Matt Wiman,10.097
Nate Diaz,Alvin Robinson,Nate Diaz,9.045
Antoni Hardonk,Colin Robinson,Antoni Hardonk,17.946
Paul Kelly,Paul Taylor,Paul Kelly,17.719
BJ Penn,Joe Stevenson,BJ Penn,13.668
Alessio Sakara,James Lee,Alessio Sakara,18.011
Jorge Rivera,Kendall Grove,Jorge Rivera,9.846
Wilson Gouveia,Jason Lambert,Wilson Gouveia,7.97
Marcus Davis,Jess Liaudin,Marcus Davis,27.327
Fabricio Werdum,Gabriel Gonzaga,Fabricio Werdum,19.198
Sam Stout,Per Eklund,Sam Stout,12.442
Rich Clementi,Melvin Guillard,Rich Clementi,15.915
James Irvin,Luiz Cane,James Irvin,21.083
Eddie Sanchez,Soa Palelei,Eddie Sanchez,17.373
Lyoto Machida,Rameau Thierry Sokoudjou,Lyoto Machida,17.954
Mark Bocek,Doug Evans,Mark Bocek,14.08
Dean Lister,Jordan Radev,Dean Lister,16.146
Manvel Gamburyan,Nate Mohr,Manvel Gamburyan,12.631
Georges St-Pierre,Matt Hughes,Georges St-Pierre,48.156
Chuck Liddell,Wanderlei Silva,Chuck Liddell,17.327
Roan Carneiro,Tony DeSouza,Roan Carneiro,16.71
Troy Mandaloniz,Richie Hightower,Troy Mandaloniz,20.684
Mac Danzig,Tommy Speer,Mac Danzig,14.112
George Sotiropoulos,Billy Miles,George Sotiropoulos,9.803
Matt Arroyo,John Kolosci,Matt Arroyo,9.436
Roman Mitichyan,Dorian Price,Roman Mitichyan,9.589
Roger Huerta,Clay Guida,Roger Huerta,11.286
War Machine,Jared Rollins,War Machine,11.869
Jonathan Goulet,Paul Georgieff,Jonathan Goulet,18.314
Ben Saunders,Dan Barrera,Ben Saunders,22.19
Karo Parisyan,Ryo Chonan,Karo Parisyan,12.518
Thiago Alves,Chris Lytle,Thiago Alves,16.177
Frankie Edgar,Spencer Fisher,Frankie Edgar,18.759
Ed Herman,Joe Doerksen,Ed Herman,12.512
Thiago Silva,Houston Alexander,Thiago Silva,13.663
Marcus Aurelio,Luke Caudillo,Marcus Aurelio,17.104
Akihiro Gono,Tamdan McCrory,Akihiro Gono,25.262
Joe Lauzon,Jason Reinhardt,Joe Lauzon,20.203
Rashad Evans,Michael Bisping,Rashad Evans,23.894
Alvin Robinson,Jorge Gurgel,Alvin Robinson,7.945
Anderson Silva,Rich Franklin,Anderson Silva,54.511
Stephan Bonnar,Eric Schafer,Stephan Bonnar,14.166
Demian Maia,Ryan Jensen,Demian Maia,25.632
Tim Sylvia,Brandon Vera,Tim Sylvia,21.878
Matt Grice,Jason Black,Matt Grice,20.605
Yushin Okami,Jason MacDonald,Yushin Okami,12.446
Joshua Burkman,Forrest Petz,Joshua Burkman,16.982
Alan Belcher,Kalib Starnes,Alan Belcher,20.682
Christian Wellisch,Scott Junk,Christian Wellisch,17.146
Lyoto Machida,Kazuhiro Nakamura,Lyoto Machida,22.849
Jeremy Stephens,Diego Saraiva,Jeremy Stephens,14.979
Tyson Griffin,Thiago Tavares,Tyson Griffin,16.443
Rich Clementi,Anthony Johnson,Rich Clementi,20.607
Matt Wiman,Michihiro Omigawa,Matt Wiman,11.074
Keith Jardine,Chuck Liddell,Keith Jardine,20.848
Forrest Griffin,Mauricio Rua,Forrest Griffin,15.978
Jon Fitch,Diego Sanchez,Jon Fitch,20.251
Nate Quarry,Pete Sell,Nate Quarry,49.692
Kenny Florian,Din Thomas,Kenny Florian,13.509
Gray Maynard,Joe Veres,Gray Maynard,29.787
Luke Cummo,Edilberto de Oliveira,Luke Cummo,18.452
Chris Leben,Terry Martin,Chris Leben,14.095
Thiago Alves,Kuniyoshi Hironaka,Thiago Alves,17.966
Nate Diaz,Junior Assuncao,Nate Diaz,17.006
Cole Miller,Leonard Garcia,Cole Miller,12.461
Dustin Hazelett,Jonathan Goulet,Dustin Hazelett,11.123
Marcus Davis,Paul Taylor,Marcus Davis,16.665
Michael Bisping,Matt Hamill,Michael Bisping,22.55
Houston Alexander,Alessio Sakara,Houston Alexander,14.942
Cheick Kongo,Mirko Filipovic,Cheick Kongo,15.846
Dennis Siver,Naoyuki Kotani,Dennis Siver,12.234
Quinton Jackson,Dan Henderson,Quinton Jackson,15.431
Jess Liaudin,Anthony Torres,Jess Liaudin,18.749
Gleison Tibau,Terry Etim,Gleison Tibau,23.234
Thiago Silva,Tomasz Drwal,Thiago Silva,23.998
Joe Stevenson,Kurt Pellegrino,Joe Stevenson,12.071
Thales Leites,Ryan Jensen,Thales Leites,25.046
Renato Sobral,David Heath,Renato Sobral,12.544
Randy Couture,Gabriel Gonzaga,Randy Couture,18.032
Clay Guida,Marcus Aurelio,Clay Guida,14.457
Roger Huerta,Alberto Crane,Roger Huerta,11.591
Georges St-Pierre,Josh Koscheck,Georges St-Pierre,17.301
Patrick Cote,Kendall Grove,Patrick Cote,16.007
