R_fighter,B_fighter,Winner,Excitement
Brady Hiestand,Batgerel Danaa,Brady Hiestand,18.759
Edson Barboza,Billy Quarantillo,Edson Barboza,20.84
Pedro Munhoz,Chris Gutierrez,Pedro Munhoz,18.411
Clay Guida,Rafa Garcia,Rafa Garcia,20.498
Dustin Jacoby,Azamat Murzakanov,Azamat Murzakanov,26.88
Max Holloway,Arnold Allen,Max Holloway,28.317
Tanner Boser,Ion Cutelaba,Ion Cutelaba,18.85
Brandon Royval,Matheus Nicolau,Brandon Royval,24.749
Gillian Robertson,Piera Rodriguez,Gillian Robertson,19.782
Bill Algeo,TJ Brown,Bill Algeo,19.103
Bruna Brasil,Denise Gomes,Denise Gomes,17.872
Zak Cummings,Ed Herman,Zak Cummings,20.321
Lando Vannata,Daniel Zellhuber,Daniel Zellhuber,27.072
Aaron Phillips,Gaston Bolanos,Gaston Bolanos,14.647
Joselyne Edwards,Lucie Pudilova,Joselyne Edwards,14.361
Alex Pereira,Israel Adesanya,Israel Adesanya,60.564
Kevin Holland,Santiago Ponzinibbio,Kevin Holland,19.636
Gilbert Burns,Jorge Masvidal,Gilbert Burns,15.716
Michelle Waterson-Gomez,Luana Pinheiro,Luana Pinheiro,22.727
Gerald Meerschaert,Joe Pyfer,Joe Pyfer,25.23
Raul Rosas Jr.,Christian Rodriguez,Christian Rodriguez,18.509
Cynthia Calvillo,Loopy Godinez,Loopy Godinez,19.052
Rob Font,Adrian Yanez,Rob Font,21.401
Jaqueline Amorim,Sam Hughes,Sam Hughes,15.42
Chris Curtis,Kelvin Gastelum,Kelvin Gastelum,18.843
Ignacio Bahamondes,Trey Ogden,Ignacio Bahamondes,21.887
Shayilan Nuerdanbieke,Steve Garcia,Steve Garcia,12.787
Andrea Lee,Maycee Barber,Maycee Barber,17.65
Marlon Vera,Cory Sandhagen,Cory Sandhagen,16.381
Chidi Njokuani,Albert Duraev,Albert Duraev,16.543
Daniel Pineda,Tucker Lutz,Daniel Pineda,18.839
Nate Landwehr,Austin Lingo,Nate Landwehr,25.369
Holly Holm,Yana Santos,Holly Holm,12.102
Victor Altamirano,Vinicius Salvador,Victor Altamirano,20.261
Trevin Giles,Preston Parsons,Trevin Giles,13.93
Steven Peterson,Lucas Alexander,Lucas Alexander,18.001
CJ Vergara,Daniel Lacerda,CJ Vergara,17.607
Justin Gaethje,Rafael Fiziev,Justin Gaethje,29.652
Gunnar Nelson,Bryan Barberena,Gunnar Nelson,18.397
Marvin Vettori,Roman Dolidze,Marvin Vettori,27.441
Jennifer Maia,Casey O'Neill,Jennifer Maia,27.549
Leon Edwards,Kamaru Usman,Leon Edwards,56.253
Sam Patterson,Yanal Ashmouz,Yanal Ashmouz,30.931
Chris Duncan,Omar Morales,Chris Duncan,25.603
Jack Shore,Makwan Amirkhani,Jack Shore,21.272
Christian Leroy Duncan,Dusko Todorovic,Christian Leroy Duncan,29.132
Jake Hadley,Malcolm Gordon,Jake Hadley,24.803
Lerone Murphy,Gabriel Santos,Lerone Murphy,31.591
Muhammad Mokaev,Jafel Filho,Muhammad Mokaev,23.271
Jai Herbert,Ludovit Klein,,17.245
Joanne Wood,Luana Carolina,Joanne Wood,21.606
Juliana Miller,Veronica Hardy,Veronica Hardy,17.767
Nikita Krylov,Ryan Spann,Nikita Krylov,11.214
Karl Williams,Lukasz Brzeski,Karl Williams,20.643
Vitor Petrino,Anton Turkalj,Vitor Petrino,22.247
Mario Bautista,Guido Cannetti,Mario Bautista,15.843
Raphael Assuncao,Davey Grant,Davey Grant,20.438
Petr Yan,Merab Dvalishvili,Merab Dvalishvili,17.776
Alexander Volkov,Alexandr Romanov,Alexander Volkov,17.505
Sedriques Dumas,Josh Fremd,Josh Fremd,21.477
Said Nurmagomedov,Jonathan Martinez,Jonathan Martinez,20.333
Tyson Nam,Bruno Silva,Bruno Silva,18.121
Ariane Lipski,JJ Aldrich,Ariane Lipski,21.309
Victor Henry,Tony Gravely,Victor Henry,20.13
Carlston Harris,Jared Gooden,Carlston Harris,15.444
Jon Jones,Ciryl Gane,Jon Jones,30.042
Bo Nickal,Jamie Pickett,Bo Nickal,13.903
Derek Brunson,Dricus Du Plessis,Dricus Du Plessis,21.575
Viviane Araujo,Amanda Ribas,Amanda Ribas,14.012
Valentina Shevchenko,Alexa Grasso,Alexa Grasso,21.965
Geoff Neal,Shavkat Rakhmonov,Shavkat Rakhmonov,25.495
Julian Marquez,Marc-Andre Barriault,Marc-Andre Barriault,20.246
Mateusz Gamrot,Jalin Turner,Mateusz Gamrot,22.42
Mana Martinez,Cameron Saaiman,Cameron Saaiman,23.169
Jessica Penne,Tabatha Ricci,Tabatha Ricci,11.138
Cody Garbrandt,Trevin Jones,Cody Garbrandt,19.954
Ian Garry,Song Kenan,Ian Garry,29.988
Da'Mon Blackshear,Farid Basharat,Farid Basharat,21.222
Esteban Ribovics,Loik Radzhabov,Loik Radzhabov,22.24
Jasmine Jasudavicius,Gabriella Fernandes,Jasmine Jasudavicius,16.327
Andre Muniz,Brendan Allen,Brendan Allen,17.332
Mike Malott,Yohan Lainesse,Mike Malott,25.72
Tatiana Suarez,Montana De La Rosa,Tatiana Suarez,21.224
Erick Gonzalez,Trevor Peek,Trevor Peek,19.278
Augusto Sakai,Don'Tale Mayes,Augusto Sakai,12.445
Ode Osbourne,Charles Johnson,Ode Osbourne,17.12
Joe Solecki,Carl Deaton,Joe Solecki,5.014
Jordan Leavitt,Victor Martinez,Jordan Leavitt,19.129
Rafael Alves,Nurullo Aliev,Nurullo Aliev,15.646
Josh Parisian,Jamal Pogues,Jamal Pogues,13.799
Jessica Andrade,Erin Blanchfield,Erin Blanchfield,24.046
William Knight,Marcin Prachnio,Marcin Prachnio,19.197
Nazim Sadykhov,Evan Elder,Nazim Sadykhov,29.463
Jordan Wright,Zac Pauga,Zac Pauga,18.341
Jamall Emmers,Khusein Askhabov,Jamall Emmers,21.601
Lina Lansberg,Mayra Bueno Silva,Mayra Bueno Silva,16.94
AJ Fletcher,Themba Gorimbo,AJ Fletcher,10.911
Jim Miller,Alexander Hernandez,Alexander Hernandez,19.498
Ovince Saint Preux,Philipe Lins,Philipe Lins,19.105
Clayton Carpenter,Juancamilo Ronderos,Clayton Carpenter,20.574
Jimmy Crute,Alonzo Menifield,,14.849
Jack Della Maddalena,Randy Brown,Jack Della Maddalena,22.705
Yair Rodriguez,Josh Emmett,Yair Rodriguez,25.094
Josh Culibao,Melsik Baghdasaryan,Josh Culibao,30.763
Justin Tafa,Parker Porter,Justin Tafa,22.427
Tyson Pedro,Modestas Bukauskas,Modestas Bukauskas,19.492
Shannon Ross,Kleidison Rodrigues,Kleidison Rodrigues,19.606
Jamie Mullarkey,Francisco Prado,Jamie Mullarkey,25.178
Islam Makhachev,Alexander Volkanovski,Islam Makhachev,29.971
Shane Young,Blake Bilder,Blake Bilder,25.632
Jack Jenkins,Don Shainis,Jack Jenkins,17.539
Zubaira Tukhugov,Elves Brener,Elves Brener,20.614
Loma Lookboonmee,Elise Reed,Loma Lookboonmee,18.859
Marcin Tybura,Blagoy Ivanov,Marcin Tybura,15.551
Derrick Lewis,Serghei Spivac,Serghei Spivac,3.357
Toshiomi Kazama,Rinya Nakamura,Rinya Nakamura,27.145
Dooho Choi,Kyle Nelson,,14.226
Yusaku Kinoshita,Adam Fugitt,Adam Fugitt,14.727
Da Woon Jung,Devin Clark,Devin Clark,10.497
JeongYeong Lee,Yizha,JeongYeong Lee,21.552
JunYong Park,Denis Tiuliulin,JunYong Park,13.301
Jeka Saragih,Anshul Jubli,Anshul Jubli,21.873
SeungGuk Choi,HyunSung Park,HyunSung Park,23.436
Tatsuro Taira,Jesus Aguilar,Tatsuro Taira,28.227
Gilbert Burns,Neil Magny,Gilbert Burns,16.43
Paul Craig,Johnny Walker,Johnny Walker,21.468
Gregory Rodrigues,Brunno Ferreira,Brunno Ferreira,29.55
Mauricio Rua,Ihor Potieria,Ihor Potieria,23.836
Deiveson Figueiredo,Brandon Moreno,Brandon Moreno,48.639
Glover Teixeira,Jamahal Hill,Jamahal Hill,24.946
Lauren Murphy,Jessica Andrade,Jessica Andrade,19.743
Thiago Moises,Melquizael Costa,Thiago Moises,16.032
Shamil Abdurakhimov,Jailton Almeida,Jailton Almeida,20.384
Gabriel Bonfim,Mounir Lazzez,Gabriel Bonfim,30.618
Ismael Bonfim,Terrance McKinney,Ismael Bonfim,19.576
Luan Lacerda,Cody Stamann,Cody Stamann,26.862
Saimon Oliveira,Daniel Marcos,Daniel Marcos,22.149
Warlley Alves,Nicolas Dalby,Nicolas Dalby,17.0
Josiane Nunes,Zarah Fairn,Josiane Nunes,26.068
Mateusz Rebecki,Nick Fiore,Mateusz Rebecki,26.916
Umar Nurmagomedov,Raoni Barcelos,Umar Nurmagomedov,35.102
Punahele Soriano,Roman Kopylov,Roman Kopylov,26.793
Claudio Ribeiro,Abdul Razak Alhassan,Abdul Razak Alhassan,19.37
Sean Strickland,Nassourdine Imavov,Sean Strickland,20.471
Dan Ige,Damon Jackson,Dan Ige,21.57
Charles Johnson,Jimmy Flick,Charles Johnson,19.158
Ketlen Vieira,Raquel Pennington,Raquel Pennington,19.773
Allan Nascimento,Carlos Hernandez,Allan Nascimento,18.124
Javid Basharat,Mateus Mendonca,Javid Basharat,29.682
Dan Argueta,Nick Aguirre,Dan Argueta,20.611
Drew Dober,Bobby Green,Drew Dober,19.039
Jake Matthews,Matthew Semelsberger,Matthew Semelsberger,14.227
Alex Caceres,Julian Erosa,Alex Caceres,22.666
Arman Tsarukyan,Damir Ismagulov,Arman Tsarukyan,20.948
Amir Albazi,Alessandro Costa,Amir Albazi,20.44
Jared Cannonier,Sean Strickland,Jared Cannonier,22.5
Cody Brundage,Michal Oleksiejczuk,Michal Oleksiejczuk,4.358
Rafa Garcia,Maheshate,Rafa Garcia,18.593
Said Nurmagomedov,Saidyokub Kakhramonov,Said Nurmagomedov,14.255
Cheyanne Vlismas,Cory McKenna,Cory McKenna,14.808
Bryan Battle,Rinat Fakhretdinov,Rinat Fakhretdinov,16.812
David Dvorak,Manel Kape,Manel Kape,17.817
Sergey Morozov,Journey Newson,Sergey Morozov,11.615
Edmen Shahbazyan,Dalcha Lungiambula,Edmen Shahbazyan,21.514
Bryce Mitchell,Ilia Topuria,Ilia Topuria,30.683
Santiago Ponzinibbio,Alex Morono,Santiago Ponzinibbio,19.885
Darren Till,Dricus Du Plessis,Dricus Du Plessis,21.416
Jan Blachowicz,Magomed Ankalaev,,21.781
Chris Curtis,Joaquin Buckley,Chris Curtis,19.844
Paddy Pimblett,Jared Gordon,Paddy Pimblett,17.758
Raul Rosas Jr.,Jay Perrin,Raul Rosas Jr.,17.456
Jairzinho Rozenstruik,Chris Daukaus,Jairzinho Rozenstruik,21.44
Billy Quarantillo,Alexander Hernandez,Billy Quarantillo,15.882
Cameron Saaiman,Steven Koslow,Cameron Saaiman,24.196
TJ Brown,Erik Silva,TJ Brown,18.698
Angela Hill,Emily Ducote,Angela Hill,22.578
Niko Price,Phil Rowe,Phil Rowe,18.576
Stephen Thompson,Kevin Holland,Stephen Thompson,23.623
Eryk Anders,Kyle Daukaus,Eryk Anders,17.875
Jack Hermansson,Roman Dolidze,Roman Dolidze,26.191
Bryan Barberena,Rafael Dos Anjos,Rafael Dos Anjos,11.408
Tai Tuivasa,Sergei Pavlovich,Sergei Pavlovich,20.41
Matheus Nicolau,Matt Schnell,Matheus Nicolau,24.695
Yazmin Jauregui,Istela Nunes,Yazmin Jauregui,24.776
Michael Johnson,Marc Diakiese,Michael Johnson,21.294
