R_fighter,B_fighter,R_record,B_record,Rematch,R_SIG_STR.,B_SIG_STR.,R_CTRL,B_CTRL,win_by,last_round,last_round_time,date,Fight_type,Winner,Excitement
Joe Lauzon,Kyle Bradley,16_5_0,18_10_0,False,23_54,18_48,37,2,KO/TKO,2,94,17-Sep-08,Men's Bout,Joe Lauzon,19.371
Mike Massenzio,Drew McFedries,11_4_0,11_4_0,False,0_0,3_4,81,0,Submission,1,88,17-Sep-08,Men's Bout,Mike Massenzio,1.945
Dan Miller,Rob Kimmons,8_1_0,23_5_0,False,0_1,0_1,62,8,Submission,1,87,17-Sep-08,Men's Bout,Dan Miller,9.156
Rashad Evans,Chuck Liddell,11_0_1,21_5_0,False,13_35,10_50,0,0,KO/TKO,2,111,6-Sep-08,Men's Bout,Rashad Evans,24.61
Rich Franklin,Matt Hamill,25_3_0,6_4_0,False,71_136,13_58,4,32,KO/TKO,3,39,6-Sep-08,Men's Bout,Rich Franklin,23.347
Kurt Pellegrino,Thiago Tavares,12_5_0,14_2_0,False,61_97,18_72,380,206,Decision - Unanimous,3,300,6-Sep-08,Men's Bout,Kurt Pellegrino,16.884
Tim Boetsch,Michael Patt,10_2_0,12_2_0,False,15_31,9_21,5,0,KO/TKO,1,123,6-Sep-08,Men's Bout,Tim Boetsch,28.164
Jason MacDonald,Jason Lambert,23_11_0,26_12_0,False,10_18,1_5,356,0,Submission,2,80,6-Sep-08,Men's Bout,Jason MacDonald,7.614
Dong Hyun Kim,Matt Brown,10_0_1,10_6_0,False,12_28,48_79,304,308,Decision - Split,3,300,6-Sep-08,Men's Bout,Dong Hyun Kim,18.527
Nate Marquardt,Martin Kampmann,27_9_2,13_1_0,False,22_36,1_7,11,8,KO/TKO,1,82,6-Sep-08,Men's Bout,Nate Marquardt,23.985
Dan Henderson,Rousimar Palhares,25_8_0,12_4_0,False,42_82,27_63,147,88,Decision - Unanimous,3,300,6-Sep-08,Men's Bout,Dan Henderson,18.795
Ryo Chonan,Roan Carneiro,21_11_0,19_8_0,False,23_58,18_38,460,319,Decision - Split,3,300,6-Sep-08,Men's Bout,Ryo Chonan,8.755
Tamdan McCrory,Luke Cummo,11_1_0,6_5_0,False,26_44,11_25,617,133,Decision - Unanimous,3,300,9-Aug-08,Men's Bout,Tamdan McCrory,17.741
Demian Maia,Jason MacDonald,8_0_0,23_10_0,False,30_59,7_15,379,316,Submission,3,164,9-Aug-08,Men's Bout,Demian Maia,16.944
Brock Lesnar,Heath Herring,1_1_0,28_15_0,False,45_52,9_21,693,115,Decision - Unanimous,3,300,9-Aug-08,Men's Bout,Brock Lesnar,13.277
Kenny Florian,Roger Huerta,9_3_0,23_7_1,False,51_99,33_103,147,78,Decision - Unanimous,3,300,9-Aug-08,Men's Bout,Kenny Florian,17.985
Georges St-Pierre,Jon Fitch,16_2_0,24_4_0,False,131_226,37_132,673,112,Decision - Unanimous,5,300,9-Aug-08,Men's Title Bout,Georges St-Pierre,20.215
Jon Jones,Andre Gusmao,6_0_0,6_1_0,False,42_102,34_84,256,107,Decision - Unanimous,3,300,9-Aug-08,Men's Bout,Jon Jones,27.307
Chris Wilson,Steve Bruno,17_8_0,14_4_0,False,47_72,5_18,540,68,Decision - Unanimous,3,300,9-Aug-08,Men's Bout,Chris Wilson,13.072
Ben Saunders,Ryan Thomas,14_3_2,20_6_0,False,41_58,12_53,248,22,Submission,2,148,9-Aug-08,Men's Bout,Ben Saunders,14.935
Rob Emerson,Manvel Gamburyan,16_9_0,11_3_0,False,3_3,0_3,3,0,KO/TKO,1,12,9-Aug-08,Men's Bout,Rob Emerson,19.826
Cheick Kongo,Dan Evensen,20_6_1,11_2_0,False,23_34,2_9,230,0,KO/TKO,1,295,9-Aug-08,Men's Bout,Cheick Kongo,14.594
Rory Markham,Brodie Farber,16_4_0,16_5_0,False,6_22,18_32,1,3,KO/TKO,1,97,19-Jul-08,Men's Bout,Rory Markham,19.109
Brandon Vera,Reese Andy,11_2_0,7_1_0,False,38_74,30_53,188,220,Decision - Unanimous,3,300,19-Jul-08,Men's Bout,Brandon Vera,25.778
Anderson Silva,James Irvin,23_4_0,17_7_0,False,13_13,0_3,6,0,KO/TKO,1,61,19-Jul-08,Men's Bout,Anderson Silva,22.56
Frankie Edgar,Hermes Franca,8_1_0,23_15_0,False,69_112,18_38,728,0,Decision - Unanimous,3,300,19-Jul-08,Men's Bout,Frankie Edgar,18.31
Cain Velasquez,Jake O'Brien,3_0_0,14_2_0,False,24_26,1_1,113,0,KO/TKO,1,122,19-Jul-08,Men's Bout,Cain Velasquez,26.685
Tim Credeur,Cale Yarbrough,9_2_0,8_2_0,False,19_68,6_22,2,0,KO/TKO,1,114,19-Jul-08,Men's Bout,Tim Credeur,22.871
Kevin Burns,Anthony Johnson,11_4_0,11_1_0,False,37_83,51_98,17,407,KO/TKO,3,215,19-Jul-08,Men's Bout,Kevin Burns,20.741
CB Dollaway,Jesse Taylor,6_1_0,30_14_0,False,4_7,4_13,79,139,Submission,1,238,19-Jul-08,Men's Bout,CB Dollaway,14.164
Nate Loughran,Johnny Rees,10_1_0,13_3_0,False,1_3,7_15,0,246,Submission,1,261,19-Jul-08,Men's Bout,Nate Loughran,13.771
Shannon Gugerty,Dale Hartt,13_4_0,5_1_0,False,3_8,1_6,190,0,Submission,1,213,19-Jul-08,Men's Bout,Shannon Gugerty,10.52
Brad Blackburn,James Giboo,15_11_1,13_4_0,False,53_87,9_33,219,28,KO/TKO,2,149,19-Jul-08,Men's Bout,Brad Blackburn,14.374
Cole Miller,Jorge Gurgel,13_3_0,14_8_0,False,41_141,54_127,126,241,Submission,3,288,5-Jul-08,Men's Bout,Cole Miller,14.59
Tyson Griffin,Marcus Aurelio,12_3_0,22_7_0,False,92_175,20_80,379,29,Decision - Unanimous,3,300,5-Jul-08,Men's Bout,Tyson Griffin,15.597
