R_fighter,B_fighter,R_record,B_record,Rematch,R_SIG_STR.,B_SIG_STR.,R_CTRL,B_CTRL,win_by,last_round,last_round_time,date,Fight_type,Winner,Excitement
Ross Pearson,Andre Winner,8_3_0,19_7_2,False,74_129,46_86,227,361,Decision - Unanimous,3,300,20-Jun-09,Men's Title Bout,Ross Pearson,14.91
Melvin Guillard,Gleison Tibau,24_12_2,22_5_0,False,13_50,14_50,10,513,Decision - Split,3,300,20-Jun-09,Men's Bout,Melvin Guillard,9.513
Diego Sanchez,Clay Guida,21_2_0,25_6_0,False,68_144,29_96,66,476,Decision - Split,3,300,20-Jun-09,Men's Bout,Diego Sanchez,17.06
Tomasz Drwal,Mike Ciesnolevicz,19_3_1,19_3_0,False,27_61,3_6,163,0,KO/TKO,1,288,20-Jun-09,Men's Bout,Tomasz Drwal,18.717
Joe Stevenson,Nate Diaz,31_12_0,11_3_0,False,27_47,6_29,637,136,Decision - Unanimous,3,300,20-Jun-09,Men's Bout,Joe Stevenson,9.71
Nick Osipczak,Frank Lester,4_0_0,11_5_0,False,14_30,8_22,140,4,Submission,1,220,20-Jun-09,Men's Bout,Nick Osipczak,19.074
Jason Dent,Cameron Dollar,21_12_0,11_4_0,False,14_36,24_63,30,5,Submission,1,286,20-Jun-09,Men's Bout,Jason Dent,18.538
Mirko Filipovic,Mostapha Al-Turk,31_7_2,6_4_0,False,16_35,7_25,15,5,KO/TKO,1,186,13-Jun-09,Men's Bout,Mirko Filipovic,18.87
Cain Velasquez,Cheick Kongo,5_0_0,23_6_1,False,29_53,21_34,780,51,Decision - Unanimous,3,300,13-Jun-09,Men's Bout,Cain Velasquez,18.281
Rich Franklin,Wanderlei Silva,26_4_0,32_10_1,False,52_150,38_137,78,92,Decision - Unanimous,3,300,13-Jun-09,Men's Bout,Rich Franklin,17.874
Mike Swick,Ben Saunders,13_2_0,16_3_2,False,10_35,17_31,327,38,KO/TKO,2,227,13-Jun-09,Men's Bout,Mike Swick,15.041
Dennis Siver,Dale Hartt,13_6_0,6_2_0,False,8_23,5_16,71,29,Submission,1,203,13-Jun-09,Men's Bout,Dennis Siver,13.544
Dan Hardy,Marcus Davis,21_6_0,21_7_0,False,28_61,19_41,266,364,Decision - Split,3,300,13-Jun-09,Men's Bout,Dan Hardy,12.022
Terry Etim,Justin Buchholz,13_2_0,15_7_0,False,27_50,23_66,104,116,Submission,2,158,13-Jun-09,Men's Bout,Terry Etim,19.073
Spencer Fisher,Caol Uno,22_4_0,33_17_4,False,62_85,24_47,186,433,Decision - Unanimous,3,300,13-Jun-09,Men's Bout,Spencer Fisher,17.149
Paul Kelly,Rolando Delgado,11_2_0,11_4_1,False,32_74,14_28,474,243,Decision - Unanimous,3,300,13-Jun-09,Men's Bout,Paul Kelly,13.825
John Hathaway,Rick Story,11_0_0,7_2_0,False,31_85,21_67,410,246,Decision - Unanimous,3,300,13-Jun-09,Men's Bout,John Hathaway,18.07
Paul Taylor,Peter Sobotta,9_4_1,13_1_1,False,46_102,18_39,273,128,Decision - Unanimous,3,300,13-Jun-09,Men's Bout,Paul Taylor,20.756
Stefan Struve,Denis Stojnic,20_3_0,13_2_0,False,4_6,16_60,128,288,Submission,2,157,13-Jun-09,Men's Bout,Stefan Struve,16.228
Lyoto Machida,Rashad Evans,14_0_0,13_0_1,False,28_46,4_24,30,0,KO/TKO,2,237,23-May-09,Men's Title Bout,Lyoto Machida,33.782
Kyle Bradley,Phillipe Nover,18_11_0,10_3_1,False,7_11,3_11,9,0,KO/TKO,1,63,23-May-09,Men's Bout,Kyle Bradley,20.472
Brock Larson,Mike Pyle,41_8_0,17_5_1,False,4_10,1_4,128,0,Submission,1,186,23-May-09,Men's Bout,Brock Larson,9.553
Drew McFedries,Xavier Foupa-Pokam,11_6_0,32_21_0,False,8_12,0_0,10,0,KO/TKO,1,37,23-May-09,Men's Bout,Drew McFedries,17.103
Tim Hague,Pat Barry,20_9_0,4_0_0,False,0_5,3_11,44,0,Submission,1,102,23-May-09,Men's Bout,Tim Hague,16.075
Chael Sonnen,Dan Miller,23_11_1,11_1_0,False,36_61,9_21,832,1,Decision - Unanimous,3,300,23-May-09,Men's Bout,Chael Sonnen,16.307
Matt Hughes,Matt Serra,42_7_0,10_5_0,False,34_58,14_41,495,53,Decision - Unanimous,3,300,23-May-09,Men's Bout,Matt Hughes,13.962
Frankie Edgar,Sean Sherk,9_1_0,35_3_1,False,74_191,27_204,45,25,Decision - Unanimous,3,300,23-May-09,Men's Bout,Frankie Edgar,27.043
Krzysztof Soszynski,Andre Gusmao,22_9_1,6_2_0,False,18_50,17_33,16,3,KO/TKO,1,197,23-May-09,Men's Bout,Krzysztof Soszynski,20.861
Yoshiyuki Yoshida,Brandon Wolff,17_7_0,7_4_0,False,4_6,2_5,67,32,Submission,1,144,23-May-09,Men's Bout,Yoshiyuki Yoshida,14.335
George Roop,David Kaplan,10_6_1,3_3_0,False,62_226,50_105,0,314,Decision - Split,3,300,23-May-09,Men's Bout,George Roop,14.302
Nate Quarry,Jason MacDonald,10_3_0,24_12_0,False,16_34,1_1,107,27,KO/TKO,1,147,18-Apr-09,Men's Bout,Nate Quarry,10.927
Krzysztof Soszynski,Brian Stann,21_9_1,6_1_0,False,3_11,8_18,107,9,Submission,1,233,18-Apr-09,Men's Bout,Krzysztof Soszynski,17.061
Denis Kang,Xavier Foupa-Pokam,34_15_2,32_20_0,False,31_65,23_53,480,6,Decision - Unanimous,3,300,18-Apr-09,Men's Bout,Denis Kang,14.34
Anderson Silva,Thales Leites,25_4_0,20_2_0,False,94_139,10_54,165,158,Decision - Unanimous,5,300,18-Apr-09,Men's Title Bout,Anderson Silva,25.328
Luiz Cane,Steve Cantwell,15_3_0,7_1_0,False,87_223,69_189,13,2,Decision - Unanimous,3,300,18-Apr-09,Men's Bout,Luiz Cane,27.078
Sam Stout,Matt Wiman,13_5_1,10_4_0,False,62_186,46_104,161,267,Decision - Unanimous,3,300,18-Apr-09,Men's Bout,Sam Stout,13.133
Cheick Kongo,Antoni Hardonk,22_6_1,8_4_0,False,53_84,9_20,300,0,KO/TKO,2,149,18-Apr-09,Men's Bout,Cheick Kongo,14.725
Mark Bocek,David Bielkheden,6_2_0,24_11_0,False,20_43,4_5,240,22,Submission,1,297,18-Apr-09,Men's Bout,Mark Bocek,12.255
Ed Herman,David Loiseau,17_8_0,23_9_0,False,71_84,6_16,715,34,Decision - Unanimous,3,300,18-Apr-09,Men's Bout,Ed Herman,13.441
Mauricio Rua,Chuck Liddell,17_3_0,21_6_0,False,24_32,8_37,26,21,KO/TKO,1,268,18-Apr-09,Men's Bout,Mauricio Rua,22.601
Eliot Marshall,Vinny Magalhaes,8_1_0,13_6_0,False,44_164,34_148,0,66,Decision - Unanimous,3,300,18-Apr-09,Men's Bout,Eliot Marshall,22.105
TJ Grant,Ryo Chonan,13_2_0,22_12_0,False,34_76,31_75,203,549,Decision - Split,3,300,18-Apr-09,Men's Bout,TJ Grant,13.279
Tyson Griffin,Rafael Dos Anjos,13_4_0,11_3_0,False,69_213,26_134,171,5,Decision - Unanimous,3,300,1-Apr-09,Men's Bout,Tyson Griffin,15.951
Gleison Tibau,Jeremy Stephens,21_5_0,16_4_0,False,7_20,23_40,607,45,Decision - Unanimous,3,300,1-Apr-09,Men's Bout,Gleison Tibau,10.61
Cole Miller,Junie Browning,14_3_0,5_5_0,False,3_16,1_3,0,66,Submission,1,118,1-Apr-09,Men's Bout,Cole Miller,10.915
Ricardo Almeida,Matt Horwich,9_3_0,30_24_1,False,41_67,25_39,501,124,Decision - Unanimous,3,300,1-Apr-09,Men's Bout,Ricardo Almeida,15.409
Brock Larson,Jesse Sanders,40_8_0,23_6_0,False,13_20,0_3,87,0,Submission,1,121,1-Apr-09,Men's Bout,Brock Larson,10.559
Tim Credeur,Nick Catone,11_2_0,7_0_0,False,9_39,19_37,24,331,Submission,2,225,1-Apr-09,Men's Bout,Tim Credeur,19.694
Martin Kampmann,Carlos Condit,14_2_0,23_4_0,False,26_61,35_86,468,190,Decision - Split,3,300,1-Apr-09,Men's Bout,Martin Kampmann,15.867
Ryan Bader,Carmelo Marrero,9_0_0,16_5_0,False,24_56,9_43,606,61,Decision - Unanimous,3,300,1-Apr-09,Men's Bout,Ryan Bader,16.024
Jorge Rivera,Nissen Osterneck,16_7_0,12_3_0,False,29_48,35_70,424,291,Decision - Split,3,300,1-Apr-09,Men's Bout,Jorge Rivera,14.056
Rob Kimmons,Joe Vedepo,23_6_0,18_8_0,False,7_15,4_12,10,63,Submission,1,114,1-Apr-09,Men's Bout,Rob Kimmons,11.86
Aaron Simpson,Tim McKenzie,5_1_0,14_8_0,False,16_27,1_4,66,0,KO/TKO,1,100,1-Apr-09,Men's Bout,Aaron Simpson,17.172
Quinton Jackson,Keith Jardine,33_8_0,17_7_2,False,56_151,64_184,174,28,Decision - Unanimous,3,300,7-Mar-09,Men's Bout,Quinton Jackson,16.547
Kendall Grove,Jason Day,20_13_0,19_11_0,False,10_25,6_25,3,0,KO/TKO,1,92,7-Mar-09,Men's Bout,Kendall Grove,18.843
Tamdan McCrory,Ryan Madigan,12_2_0,5_2_0,False,12_23,0_2,202,0,KO/TKO,1,215,7-Mar-09,Men's Bout,Tamdan McCrory,10.519
Shane Carwin,Gabriel Gonzaga,10_0_0,11_3_0,False,4_10,5_8,2,29,KO/TKO,1,69,7-Mar-09,Men's Bout,Shane Carwin,23.425
Matt Hamill,Mark Munoz,7_5_0,5_0_0,False,23_47,14_37,19,1,KO/TKO,1,233,7-Mar-09,Men's Bout,Matt Hamill,27.659
Matt Brown,Pete Sell,11_7_0,10_6_0,False,24_31,0_1,35,21,KO/TKO,1,92,7-Mar-09,Men's Bout,Matt Brown,12.978
Gray Maynard,Jim Miller,6_0_0,13_1_0,False,37_93,25_100,125,86,Decision - Unanimous,3,300,7-Mar-09,Men's Bout,Gray Maynard,29.271
Shane Nelson,Aaron Riley,15_5_0,28_10_1,False,5_12,4_9,6,2,KO/TKO,1,44,7-Mar-09,Men's Bout,Shane Nelson,18.62
Jason Brilz,Tim Boetsch,20_2_1,11_2_0,False,34_103,27_65,478,2,Decision - Unanimous,3,300,7-Mar-09,Men's Bout,Jason Brilz,19.687
Brandon Vera,Michael Patt,12_3_0,12_3_0,False,32_75,5_28,11,0,KO/TKO,2,87,7-Mar-09,Men's Bout,Brandon Vera,20.872
Junior Dos Santos,Stefan Struve,7_1_0,20_2_0,False,12_18,0_1,6,0,KO/TKO,1,54,21-Feb-09,Men's Bout,Junior Dos Santos,29.495
Paulo Thiago,Josh Koscheck,13_1_0,12_4_0,False,7_24,8_29,2,0,KO/TKO,1,209,21-Feb-09,Men's Bout,Paulo Thiago,24.147
Demian Maia,Chael Sonnen,10_0_0,23_10_1,False,6_17,8_24,9,87,Submission,1,157,21-Feb-09,Men's Bout,Demian Maia,17.793
Evan Dunham,Per Eklund,7_0_0,14_4_1,False,13_27,9_13,31,32,KO/TKO,1,133,21-Feb-09,Men's Bout,Evan Dunham,23.92
Diego Sanchez,Joe Stevenson,20_2_0,31_11_0,False,91_193,41_145,46,24,Decision - Unanimous,3,300,21-Feb-09,Men's Bout,Diego Sanchez,24.277
Dan Hardy,Rory Markham,20_6_0,17_4_0,False,5_12,2_7,2,0,KO/TKO,1,69,21-Feb-09,Men's Bout,Dan Hardy,19.696
Nate Marquardt,Wilson Gouveia,28_9_2,14_6_0,False,67_102,16_74,259,0,KO/TKO,3,190,21-Feb-09,Men's Bout,Nate Marquardt,17.489
Terry Etim,Brian Cobb,12_2_0,20_8_0,False,19_43,0_13,24,108,KO/TKO,2,10,21-Feb-09,Men's Bout,Terry Etim,16.127
Paul Kelly,Troy Mandaloniz,10_2_0,3_1_0,False,71_190,38_82,383,165,Decision - Unanimous,3,300,21-Feb-09,Men's Bout,Paul Kelly,18.624
Mike Ciesnolevicz,Neil Grove,18_3_0,12_7_1,False,0_0,0_3,0,22,Submission,1,63,21-Feb-09,Men's Bout,Mike Ciesnolevicz,12.487
Gleison Tibau,Rich Clementi,20_5_0,45_22_1,False,7_10,1_9,201,20,Submission,1,275,7-Feb-09,Men's Bout,Gleison Tibau,10.246
Josh Neer,Mac Danzig,33_11_1,18_5_1,False,46_96,33_66,133,178,Submission,2,216,7-Feb-09,Men's Bout,Josh Neer,13.999
Matt Veach,Matt Grice,16_3_0,14_1_0,False,12_29,29_48,84,101,KO/TKO,1,274,7-Feb-09,Men's Bout,Matt Veach,20.682
Dan Miller,Jake Rosholt,10_1_0,11_3_0,False,2_6,2_4,22,26,Submission,1,63,7-Feb-09,Men's Bout,Dan Miller,15.977
Kurt Pellegrino,Rob Emerson,13_5_0,17_9_0,False,16_58,21_77,89,60,Submission,2,194,7-Feb-09,Men's Bout,Kurt Pellegrino,13.642
Joe Lauzon,Jeremy Stephens,17_5_0,16_3_0,False,11_17,15_37,311,224,Submission,2,283,7-Feb-09,Men's Bout,Joe Lauzon,12.898
Cain Velasquez,Denis Stojnic,4_0_0,13_1_0,False,88_140,7_39,208,4,KO/TKO,2,154,7-Feb-09,Men's Bout,Cain Velasquez,28.199
Anthony Johnson,Luigi Fioravanti,12_2_0,26_14_0,False,21_47,12_23,9,18,KO/TKO,1,279,7-Feb-09,Men's Bout,Anthony Johnson,24.435
Nick Catone,Derek Downey,6_0_0,11_3_0,False,21_24,2_2,277,62,Submission,2,75,7-Feb-09,Men's Bout,Nick Catone,23.373
Matthew Riddle,Steve Bruno,2_0_0,15_5_0,False,48_81,22_35,671,23,Decision - Unanimous,3,300,7-Feb-09,Men's Bout,Matthew Riddle,21.148
Karo Parisyan,Dong Hyun Kim,2_0_0,15_5_0,False,24_47,19_35,314,406,Overturned,3,300,31-Jan-09,Men's Bout,,19.096
Lyoto Machida,Thiago Silva,13_0_0,16_3_0,False,24_40,2_10,148,24,KO/TKO,1,299,31-Jan-09,Men's Bout,Lyoto Machida,22.409
Jon Fitch,Akihiro Gono,24_5_0,35_20_8,False,40_70,7_20,608,121,Decision - Unanimous,3,300,31-Jan-09,Men's Bout,Jon Fitch,10.996
Thiago Tavares,Manvel Gamburyan,14_3_0,11_4_0,False,27_64,26_86,308,138,Decision - Unanimous,3,300,31-Jan-09,Men's Bout,Thiago Tavares,14.577
Jon Jones,Stephan Bonnar,7_0_0,12_5_0,False,45_62,37_76,249,131,Decision - Unanimous,3,300,31-Jan-09,Men's Bout,Jon Jones,26.713
Clay Guida,Nate Diaz,24_6_0,11_2_0,False,49_99,49_135,530,50,Decision - Split,3,300,31-Jan-09,Men's Bout,Clay Guida,15.806
John Howard,Chris Wilson,17_6_0,18_8_0,False,21_41,45_82,361,191,Decision - Split,3,300,31-Jan-09,Men's Bout,John Howard,14.68
Georges St-Pierre,BJ Penn,17_2_0,13_4_1,True,92_122,16_37,897,26,KO/TKO,4,300,31-Jan-09,Men's Title Bout,Georges St-Pierre,47.314
Dan Cramer,Matt Arroyo,10_3_0,3_2_0,False,24_68,16_25,653,145,Decision - Split,3,300,31-Jan-09,Men's Bout,Dan Cramer,8.957
Jake O'Brien,Christian Wellisch,14_3_0,8_4_0,False,25_84,46_179,314,4,Decision - Split,3,300,31-Jan-09,Men's Bout,Jake O'Brien,14.612
Marcus Davis,Chris Lytle,20_7_0,26_16_5,False,59_166,73_198,6,3,Decision - Split,3,300,17-Jan-09,Men's Bout,Marcus Davis,19.556
Mauricio Rua,Mark Coleman,16_3_0,15_8_0,False,62_102,31_69,209,370,KO/TKO,3,276,17-Jan-09,Men's Bout,Mauricio Rua,16.547
Eric Schafer,Antonio Mendes,13_4_2,18_12_0,False,22_30,3_5,186,9,KO/TKO,1,215,17-Jan-09,Men's Bout,Eric Schafer,13.559
Martin Kampmann,Alexandre Barros,13_2_0,22_10_0,False,33_52,8_20,186,135,KO/TKO,2,189,17-Jan-09,Men's Bout,Martin Kampmann,18.22
Dan Henderson,Rich Franklin,26_8_0,26_3_0,False,36_88,39_96,306,93,Decision - Split,3,300,17-Jan-09,Men's Bout,Dan Henderson,17.932
Alan Belcher,Denis Kang,13_5_0,34_14_2,False,9_28,26_55,20,343,Submission,2,276,17-Jan-09,Men's Bout,Alan Belcher,10.95
Rousimar Palhares,Jeremy Horn,12_5_0,91_21_5,False,18_35,7_36,663,57,Decision - Unanimous,3,300,17-Jan-09,Men's Bout,Rousimar Palhares,9.036
Dennis Siver,Nate Mohr,12_6_0,9_6_0,False,48_190,48_102,7,109,KO/TKO,3,225,17-Jan-09,Men's Bout,Dennis Siver,16.943
Tomasz Drwal,Ivan Serati,18_3_1,12_3_0,False,14_22,3_11,38,0,KO/TKO,1,122,17-Jan-09,Men's Bout,Tomasz Drwal,21.124
John Hathaway,Tom Egan,10_0_0,7_4_0,False,18_36,0_1,249,0,KO/TKO,1,276,17-Jan-09,Men's Bout,John Hathaway,13.583
Cheick Kongo,Mostapha Al-Turk,21_6_1,6_3_0,False,34_44,4_9,77,92,KO/TKO,1,277,27-Dec-08,Men's Bout,Cheick Kongo,16.875
Quinton Jackson,Wanderlei Silva,32_8_0,32_9_1,False,11_20,7_26,2,0,KO/TKO,1,201,27-Dec-08,Men's Bout,Quinton Jackson,21.381
CB Dollaway,Mike Massenzio,7_1_0,12_4_0,False,9_19,3_6,120,4,KO/TKO,1,181,27-Dec-08,Men's Bout,CB Dollaway,18.094
Yushin Okami,Dean Lister,26_6_0,13_6_0,False,39_77,6_39,536,15,Decision - Unanimous,3,300,27-Dec-08,Men's Bout,Yushin Okami,11.344
Rashad Evans,Forrest Griffin,12_0_1,16_4_0,False,49_103,50_149,131,3,KO/TKO,3,166,27-Dec-08,Men's Title Bout,Rashad Evans,24.701
Matt Hamill,Reese Andy,6_5_0,7_2_0,False,40_115,34_73,25,0,KO/TKO,2,139,27-Dec-08,Men's Bout,Matt Hamill,21.441
Antoni Hardonk,Mike Wessel,7_4_0,15_7_0,False,46_59,13_23,96,237,KO/TKO,2,129,27-Dec-08,Men's Bout,Antoni Hardonk,15.636
Brad Blackburn,Ryo Chonan,16_11_1,22_11_0,False,79_296,63_181,22,0,Decision - Unanimous,3,300,27-Dec-08,Men's Bout,Brad Blackburn,18.002
Frank Mir,Antonio Rodrigo Nogueira,11_3_0,31_4_1,False,37_101,10_38,41,0,KO/TKO,2,114,27-Dec-08,Men's Title Bout,Frank Mir,20.412
Pat Barry,Dan Evensen,3_0_0,11_3_0,False,6_13,0_10,39,38,KO/TKO,1,156,27-Dec-08,Men's Bout,Pat Barry,19.681
Wilson Gouveia,Jason MacDonald,13_6_0,24_11_0,False,18_28,6_13,45,37,KO/TKO,1,138,13-Dec-08,Men's Bout,Wilson Gouveia,16.025
Efrain Escudero,Phillipe Nover,23_5_0,10_2_1,False,27_45,20_55,560,76,Decision - Unanimous,3,300,13-Dec-08,Men's Title Bout,Efrain Escudero,15.334
Eliot Marshall,Jules Bruchez,7_1_0,1_1_0,False,8_15,1_2,65,0,Submission,1,87,13-Dec-08,Men's Bout,Eliot Marshall,18.107
Junie Browning,David Kaplan,4_5_0,3_2_0,False,31_63,12_29,186,60,Submission,2,92,13-Dec-08,Men's Bout,Junie Browning,13.138
Tom Lawlor,Kyle Kingsbury,4_1_0,7_1_0,False,14_22,10_22,682,139,Decision - Unanimous,3,300,13-Dec-08,Men's Bout,Tom Lawlor,20.986
Ryan Bader,Vinny Magalhaes,8_0_0,13_5_0,False,15_30,4_20,4,0,KO/TKO,1,138,13-Dec-08,Men's Title Bout,Ryan Bader,27.057
Anthony Johnson,Kevin Burns,11_2_0,12_4_0,True,35_64,17_45,449,1,KO/TKO,3,28,13-Dec-08,Men's Bout,Anthony Johnson,44.197
Shane Nelson,George Roop,14_5_0,10_5_1,False,10_32,21_74,478,237,Decision - Split,3,300,13-Dec-08,Men's Bout,Shane Nelson,7.125
Krzysztof Soszynski,Shane Primm,20_9_1,5_4_0,False,19_50,7_26,283,77,Submission,2,207,13-Dec-08,Men's Bout,Krzysztof Soszynski,9.115
Rolando Delgado,John Polakowski,10_4_1,2_1_0,False,15_27,1_23,246,21,Submission,2,138,13-Dec-08,Men's Bout,Rolando Delgado,13.762
Josh Koscheck,Yoshiyuki Yoshida,11_4_0,17_6_0,False,6_16,6_17,0,0,KO/TKO,1,135,10-Dec-08,Men's Bout,Josh Koscheck,19.854
