R_fighter                 ,B_fighter                 ,R_record  ,B_record  ,Rematch ,R_KD ,B_KD ,R_SIG_STR. ,B_SIG_STR. ,R_TOTAL_STR. ,B_TOTAL_STR. ,R_TD     ,B_TD     ,R_SUB_ATT ,B_SUB_ATT ,R_CTRL ,B_CTRL ,R_HEAD  ,B_HEAD  ,win_by                  ,last_round ,last_round_time ,Format               ,date      ,Fight_type         ,Winner
Jessica Andrade           ,Tecia Torres              ,18_6_0    ,10_1_0    ,False   ,   0 ,   0 ,92_178     ,69_150     ,151_237      ,88_171       ,10 of 12 ,2 of 2   ,        0 ,        0 ,   435 ,    23 ,46_124  ,54_132  ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,24-Feb-18 ,Women's Bout       ,Jessica Andrade
Ovince Saint Preux        ,Ilir Latifi               ,22_10_0   ,14_5_0    ,False   ,   0 ,   1 ,7_24       ,25_41      ,7_24         ,27_43        ,0 of 0   ,0 of 0   ,        0 ,        1 ,     0 ,    20 ,2_18    ,11_25   ,Submission              ,         1 ,            228 ,3 Rnd (5-5-5)        ,24-Feb-18 ,Men's Bout         ,Ilir Latifi
Renan Barao               ,Brian Kelleher            ,34_5_0    ,18_8_0    ,False   ,   0 ,   0 ,116_228    ,94_203     ,134_247      ,145_256      ,0 of 2   ,1 of 4   ,        0 ,        0 ,   133 ,   266 ,78_167  ,74_175  ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,24-Feb-18 ,Men's Bout         ,Brian Kelleher
Mike Perry                ,Max Griffin               ,11_2_0    ,13_4_0    ,False   ,   0 ,   1 ,45_110     ,78_168     ,45_110       ,81_171       ,1 of 4   ,0 of 1   ,        0 ,        0 ,    78 ,    24 ,23_77   ,58_138  ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,24-Feb-18 ,Men's Bout         ,Max Griffin
Sam Alvey                 ,Marcin Prachnio           ,31_10_0   ,13_2_0    ,False   ,   2 ,   0 ,10_19      ,15_24      ,14_23        ,36_45        ,1 of 1   ,0 of 0   ,        0 ,        0 ,   101 ,    14 ,3_12    ,3_10    ,KO/TKO                  ,         1 ,            263 ,3 Rnd (5-5-5)        ,24-Feb-18 ,Men's Bout         ,Sam Alvey
Ben Saunders              ,Alan Jouban               ,21_8_2    ,15_6_0    ,False   ,   0 ,   2 ,33_79      ,78_141     ,34_80        ,78_141       ,0 of 0   ,0 of 0   ,        0 ,        0 ,     3 ,    18 ,21_60   ,53_109  ,KO/TKO                  ,         2 ,            158 ,3 Rnd (5-5-5)        ,24-Feb-18 ,Men's Bout         ,Alan Jouban
Maryna Moroz              ,Angela Hill               ,8_2_0     ,8_4_0     ,False   ,   0 ,   0 ,84_321     ,114_209    ,100_339      ,121_216      ,0 of 2   ,1 of 2   ,        0 ,        0 ,    31 ,   121 ,39_241  ,63_144  ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,24-Feb-18 ,Women's Bout       ,Angela Hill
Josh Emmett               ,Jeremy Stephens           ,13_1_0    ,27_14_0   ,False   ,   1 ,   1 ,18_40      ,24_57      ,21_43        ,24_57        ,0 of 0   ,0 of 0   ,        0 ,        0 ,    21 ,     9 ,9_30    ,18_46   ,KO/TKO                  ,         2 ,             95 ,5 Rnd (5-5-5-5-5)    ,24-Feb-18 ,Men's Bout         ,Jeremy Stephens
Rani Yahya                ,Russell Doane             ,24_9_0    ,15_7_0    ,False   ,   0 ,   0 ,17_20      ,2_8        ,105_149      ,15_30        ,2 of 3   ,1 of 1   ,        2 ,        0 ,   599 ,    22 ,1_4     ,0_5     ,Submission              ,         3 ,            152 ,3 Rnd (5-5-5)        ,24-Feb-18 ,Men's Bout         ,Rani Yahya
Albert Morales            ,Manny Bermudez            ,7_3_1     ,11_0_0    ,False   ,   0 ,   0 ,19_54      ,12_28      ,30_66        ,27_43        ,1 of 1   ,1 of 5   ,        0 ,        3 ,   220 ,   116 ,16_50   ,12_28   ,Submission              ,         2 ,            153 ,3 Rnd (5-5-5)        ,24-Feb-18 ,Men's Bout         ,Manny Bermudez
Sara McMann               ,Marion Reneau             ,11_4_0    ,8_3_1     ,False   ,   0 ,   0 ,9_49       ,23_39      ,76_120       ,37_55        ,2 of 5   ,0 of 0   ,        0 ,        1 ,   311 ,     7 ,5_42    ,23_38   ,Submission              ,         2 ,            220 ,3 Rnd (5-5-5)        ,24-Feb-18 ,Women's Bout       ,Marion Reneau
Eric Shelton              ,Alex Perez                ,11_4_0    ,19_4_0    ,False   ,   0 ,   0 ,41_109     ,29_82      ,72_140       ,67_123       ,0 of 2   ,5 of 9   ,        0 ,        0 ,     2 ,   418 ,30_98   ,15_64   ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,24-Feb-18 ,Men's Bout         ,Alex Perez
Sage Northcutt            ,Thibault Gouti            ,9_2_0     ,12_3_0    ,False   ,   0 ,   0 ,63_138     ,28_66      ,125_204      ,30_68        ,1 of 9   ,4 of 5   ,        0 ,        1 ,   113 ,   371 ,32_102  ,21_49   ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,18-Feb-18 ,Men's Bout         ,Sage Northcutt
Steven Peterson           ,Brandon Davis             ,16_6_0    ,12_4_0    ,False   ,   0 ,   0 ,73_286     ,114_285    ,82_296       ,119_291      ,1 of 10  ,0 of 1   ,        0 ,        0 ,   108 ,    39 ,55_257  ,83_243  ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,18-Feb-18 ,Men's Bout         ,Brandon Davis
Thiago Alves              ,Curtis Millender          ,22_11_0   ,14_3_0    ,False   ,   0 ,   2 ,33_106     ,47_106     ,37_110       ,47_106       ,1 of 1   ,0 of 0   ,        0 ,        0 ,    14 ,    15 ,3_63    ,31_85   ,KO/TKO                  ,         2 ,            257 ,3 Rnd (5-5-5)        ,18-Feb-18 ,Men's Bout         ,Curtis Millender
Donald Cerrone            ,Yancy Medeiros            ,32_10_0   ,15_4_0    ,False   ,   3 ,   0 ,28_57      ,25_79      ,28_57        ,26_80        ,0 of 1   ,0 of 0   ,        0 ,        0 ,    21 ,    17 ,16_45   ,17_70   ,KO/TKO                  ,         1 ,            298 ,5 Rnd (5-5-5-5-5)    ,18-Feb-18 ,Men's Bout         ,Donald Cerrone
Derrick Lewis             ,Marcin Tybura             ,18_6_0    ,16_3_0    ,False   ,   2 ,   0 ,30_45      ,37_56      ,32_47        ,83_104       ,1 of 2   ,1 of 2   ,        0 ,        1 ,   136 ,   433 ,27_42   ,19_32   ,KO/TKO                  ,         3 ,            168 ,3 Rnd (5-5-5)        ,18-Feb-18 ,Men's Bout         ,Derrick Lewis
