R_fighter                 ,B_fighter                 ,R_record  ,B_record  ,Rematch ,R_KD ,B_KD ,R_SIG_STR. ,B_SIG_STR. ,R_TOTAL_STR. ,B_TOTAL_STR. ,R_TD     ,B_TD     ,R_SUB_ATT ,B_SUB_ATT ,R_CTRL ,B_CTRL ,R_HEAD  ,B_HEAD  ,win_by                  ,last_round ,last_round_time ,Format               ,date      ,Fight_type         ,Winner
Cheick Kongo              ,Dan Evensen               ,20_6_1    ,11_2_0    ,False   ,   1 ,   0 ,23_34      ,2_9        ,38_50        ,3_10         ,2 of 2   ,0 of 0   ,        0 ,        2 ,   230 ,     0 ,9_16    ,0_6     ,KO/TKO                  ,         1 ,            295 ,3 Rnd (5-5-5)        ,9-Aug-08  ,Men's Bout         ,Cheick Kongo
Rory Markham              ,Brodie Farber             ,16_4_0    ,16_5_0    ,False   ,   1 ,   0 ,6_22       ,18_32      ,6_22         ,18_32        ,0 of 0   ,0 of 0   ,        0 ,        0 ,     1 ,     3 ,5_21    ,16_30   ,KO/TKO                  ,         1 ,             97 ,3 Rnd (5-5-5)        ,19-Jul-08 ,Men's Bout         ,Rory Markham
Brandon Vera              ,Reese Andy                ,11_2_0    ,7_1_0     ,False   ,   0 ,   0 ,38_74      ,30_53      ,51_89        ,95_118       ,2 of 4   ,1 of 5   ,        0 ,        0 ,   188 ,   220 ,17_49   ,8_25    ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,19-Jul-08 ,Men's Bout         ,Brandon Vera
Anderson Silva            ,James Irvin               ,23_4_0    ,17_7_0    ,False   ,   1 ,   0 ,13_13      ,0_3        ,13_13        ,0_3          ,0 of 0   ,0 of 0   ,        0 ,        0 ,     6 ,     0 ,11_11   ,0_2     ,KO/TKO                  ,         1 ,             61 ,3 Rnd (5-5-5)        ,19-Jul-08 ,Men's Bout         ,Anderson Silva
Frankie Edgar             ,Hermes Franca             ,8_1_0     ,23_15_0   ,False   ,   0 ,   0 ,69_112     ,18_38      ,124_171      ,63_94        ,10 of 11 ,0 of 0   ,        0 ,        1 ,   728 ,     0 ,51_94   ,13_31   ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,19-Jul-08 ,Men's Bout         ,Frankie Edgar
Cain Velasquez            ,Jake O'Brien              ,3_0_0     ,14_2_0    ,False   ,   0 ,   0 ,24_26      ,1_1        ,79_83        ,1_1          ,1 of 1   ,0 of 0   ,        0 ,        0 ,   113 ,     0 ,23_25   ,1_1     ,KO/TKO                  ,         1 ,            122 ,3 Rnd (5-5-5)        ,19-Jul-08 ,Men's Bout         ,Cain Velasquez
Tim Credeur               ,Cale Yarbrough            ,9_2_0     ,8_2_0     ,False   ,   1 ,   0 ,19_68      ,6_22       ,19_68        ,6_22         ,0 of 0   ,0 of 0   ,        0 ,        0 ,     2 ,     0 ,19_66   ,2_17    ,KO/TKO                  ,         1 ,            114 ,3 Rnd (5-5-5)        ,19-Jul-08 ,Men's Bout         ,Tim Credeur
Kevin Burns               ,Anthony Johnson           ,11_4_0    ,11_1_0    ,False   ,   0 ,   0 ,37_83      ,51_98      ,93_140       ,106_157      ,0 of 1   ,5 of 6   ,        0 ,        0 ,    17 ,   407 ,12_50   ,27_71   ,KO/TKO                  ,         3 ,            215 ,3 Rnd (5-5-5)        ,19-Jul-08 ,Men's Bout         ,Kevin Burns
CB Dollaway               ,Jesse Taylor              ,6_1_0     ,30_14_0   ,False   ,   0 ,   0 ,4_7        ,4_13       ,9_12         ,25_40        ,0 of 1   ,1 of 3   ,        2 ,        0 ,    79 ,   139 ,2_5     ,2_11    ,Submission              ,         1 ,            238 ,3 Rnd (5-5-5)        ,19-Jul-08 ,Men's Bout         ,CB Dollaway
Nate Loughran             ,Johnny Rees               ,10_1_0    ,13_3_0    ,False   ,   0 ,   0 ,1_3        ,7_15       ,10_12        ,10_19        ,0 of 0   ,0 of 0   ,        2 ,        0 ,     0 ,   246 ,0_0     ,6_14    ,Submission              ,         1 ,            261 ,3 Rnd (5-5-5)        ,19-Jul-08 ,Men's Bout         ,Nate Loughran
Shannon Gugerty           ,Dale Hartt                ,13_4_0    ,5_1_0     ,False   ,   0 ,   0 ,3_8        ,1_6        ,16_23        ,2_7          ,1 of 1   ,0 of 0   ,        2 ,        2 ,   190 ,     0 ,1_5     ,0_4     ,Submission              ,         1 ,            213 ,3 Rnd (5-5-5)        ,19-Jul-08 ,Men's Bout         ,Shannon Gugerty
Brad Blackburn            ,James Giboo               ,15_11_1   ,13_4_0    ,False   ,   4 ,   0 ,53_87      ,9_33       ,84_120       ,14_38        ,0 of 0   ,0 of 6   ,        0 ,        0 ,   219 ,    28 ,46_77   ,4_28    ,KO/TKO                  ,         2 ,            149 ,3 Rnd (5-5-5)        ,19-Jul-08 ,Men's Bout         ,Brad Blackburn
Cole Miller               ,Jorge Gurgel              ,13_3_0    ,14_8_0    ,False   ,   0 ,   0 ,41_141     ,54_127     ,59_159       ,76_151       ,1 of 2   ,3 of 3   ,        2 ,        0 ,   126 ,   241 ,24_111  ,34_101  ,Submission              ,         3 ,            288 ,3 Rnd (5-5-5)        ,5-Jul-08  ,Men's Bout         ,Cole Miller
Tyson Griffin             ,Marcus Aurelio            ,12_3_0    ,22_7_0    ,False   ,   0 ,   0 ,92_175     ,20_80      ,144_227      ,41_102       ,3 of 3   ,0 of 4   ,        0 ,        1 ,   379 ,    29 ,47_107  ,13_73   ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,5-Jul-08  ,Men's Bout         ,Tyson Griffin
Forrest Griffin           ,Quinton Jackson           ,15_4_0    ,32_7_0    ,False   ,   0 ,   1 ,77_276     ,50_138     ,113_326      ,73_163       ,0 of 1   ,0 of 1   ,        3 ,        0 ,   287 ,   190 ,31_205  ,38_125  ,Decision - Unanimous    ,         5 ,            300 ,5 Rnd (5-5-5-5-5)    ,5-Jul-08  ,Men's Title Bout   ,Forrest Griffin
Patrick Cote              ,Ricardo Almeida           ,16_4_0    ,9_2_0     ,False   ,   0 ,   0 ,24_64      ,26_62      ,39_80        ,36_72        ,0 of 0   ,2 of 11  ,        0 ,        2 ,   105 ,   296 ,13_52   ,15_50   ,Decision - Split        ,         3 ,            300 ,3 Rnd (5-5-5)        ,5-Jul-08  ,Men's Bout         ,Patrick Cote
Josh Koscheck             ,Chris Lytle               ,10_3_0    ,25_15_5   ,False   ,   0 ,   0 ,38_58      ,16_65      ,103_125      ,43_93        ,2 of 4   ,0 of 0   ,        0 ,        5 ,   598 ,    13 ,33_53   ,11_56   ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,5-Jul-08  ,Men's Bout         ,Josh Koscheck
Melvin Guillard           ,Dennis Siver              ,23_12_2   ,12_5_0    ,False   ,   2 ,   0 ,10_15      ,0_1        ,10_15        ,0_1          ,0 of 0   ,0 of 0   ,        0 ,        0 ,    20 ,     0 ,10_15   ,0_1     ,KO/TKO                  ,         1 ,             36 ,3 Rnd (5-5-5)        ,5-Jul-08  ,Men's Bout         ,Melvin Guillard
Joe Stevenson             ,Gleison Tibau             ,30_10_0   ,20_4_0    ,False   ,   1 ,   0 ,12_27      ,4_24       ,13_28        ,28_48        ,1 of 3   ,5 of 5   ,        2 ,        1 ,   194 ,   151 ,8_23    ,4_24    ,Submission              ,         2 ,            177 ,3 Rnd (5-5-5)        ,5-Jul-08  ,Men's Bout         ,Joe Stevenson
Gabriel Gonzaga           ,Justin McCully            ,9_3_0     ,10_3_2    ,False   ,   0 ,   0 ,6_8        ,2_9        ,16_19        ,2_9          ,1 of 1   ,0 of 0   ,        1 ,        0 ,    76 ,     0 ,1_3     ,0_5     ,Submission              ,         1 ,            117 ,3 Rnd (5-5-5)        ,5-Jul-08  ,Men's Bout         ,Gabriel Gonzaga
Justin Buchholz           ,Corey Hill                ,14_7_0    ,6_7_0     ,False   ,   0 ,   0 ,24_80      ,34_88      ,40_96        ,44_98        ,0 of 0   ,2 of 2   ,        1 ,        0 ,    11 ,   152 ,13_56   ,27_77   ,Submission              ,         2 ,            237 ,3 Rnd (5-5-5)        ,5-Jul-08  ,Men's Bout         ,Justin Buchholz
Dustin Hazelett           ,Joshua Burkman            ,10_4_0    ,27_7_0    ,False   ,   0 ,   0 ,13_43      ,34_60      ,15_45        ,44_70        ,1 of 1   ,1 of 1   ,        3 ,        0 ,    42 ,   224 ,9_36    ,20_39   ,Submission              ,         2 ,            286 ,3 Rnd (5-5-5)        ,21-Jun-08 ,Men's Bout         ,Dustin Hazelett
Spencer Fisher            ,Jeremy Stephens           ,20_4_0    ,15_2_0    ,False   ,   0 ,   0 ,56_104     ,23_55      ,132_201      ,63_97        ,1 of 5   ,2 of 4   ,        0 ,        3 ,   522 ,   154 ,32_75   ,15_43   ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,21-Jun-08 ,Men's Bout         ,Spencer Fisher
Diego Sanchez             ,Luigi Fioravanti          ,19_2_0    ,25_13_0   ,False   ,   2 ,   0 ,51_116     ,27_80      ,56_121       ,30_83        ,0 of 8   ,1 of 3   ,        1 ,        1 ,   111 ,    45 ,41_105  ,18_67   ,KO/TKO                  ,         3 ,            247 ,3 Rnd (5-5-5)        ,21-Jun-08 ,Men's Bout         ,Diego Sanchez
Kendall Grove             ,Evan Tanner               ,19_13_0   ,32_7_0    ,False   ,   0 ,   0 ,59_96      ,27_47      ,90_127       ,35_57        ,0 of 0   ,3 of 8   ,        1 ,        0 ,    82 ,   539 ,47_84   ,15_35   ,Decision - Split        ,         3 ,            300 ,3 Rnd (5-5-5)        ,21-Jun-08 ,Men's Bout         ,Kendall Grove
Dean Lister               ,Jeremy Horn               ,12_6_0    ,91_20_5   ,False   ,   0 ,   0 ,6_22       ,2_28       ,9_25         ,15_41        ,1 of 4   ,0 of 0   ,        1 ,        0 ,    40 ,    75 ,5_21    ,2_27    ,Submission              ,         1 ,            232 ,3 Rnd (5-5-5)        ,21-Jun-08 ,Men's Bout         ,Dean Lister
Drew McFedries            ,Marvin Eastman            ,10_4_0    ,18_14_1   ,False   ,   1 ,   0 ,19_32      ,3_6        ,22_35        ,7_10         ,1 of 1   ,1 of 3   ,        0 ,        0 ,     5 ,    12 ,15_27   ,3_6     ,KO/TKO                  ,         1 ,             68 ,3 Rnd (5-5-5)        ,21-Jun-08 ,Men's Bout         ,Drew McFedries
Matt Brown                ,Matt Arroyo               ,9_6_0     ,3_1_0     ,False   ,   0 ,   0 ,32_65      ,26_64      ,53_95        ,34_76        ,0 of 0   ,2 of 6   ,        1 ,        0 ,   208 ,   108 ,22_51   ,18_53   ,KO/TKO                  ,         2 ,            220 ,3 Rnd (5-5-5)        ,21-Jun-08 ,Men's Bout         ,Matt Brown
Amir Sadollah             ,CB Dollaway               ,0_0_0     ,6_0_0     ,False   ,   0 ,   0 ,2_5        ,6_16       ,5_8          ,11_22        ,0 of 0   ,1 of 1   ,        2 ,        0 ,     0 ,   133 ,0_2     ,4_13    ,Submission              ,         1 ,            182 ,3 Rnd (5-5-5)        ,21-Jun-08 ,Men's Title Bout   ,Amir Sadollah
Matthew Riddle            ,Dante Rivera              ,1_0_0     ,16_6_0    ,False   ,   0 ,   0 ,60_80      ,34_64      ,129_151      ,64_95        ,5 of 6   ,0 of 5   ,        2 ,        0 ,   549 ,   149 ,15_25   ,11_26   ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,21-Jun-08 ,Men's Bout         ,Matthew Riddle
Rob Kimmons               ,Rob Yundt                 ,22_5_0    ,9_4_0     ,False   ,   0 ,   0 ,9_13       ,5_6        ,25_29        ,45_46        ,1 of 1   ,1 of 1   ,        4 ,        0 ,    93 ,   132 ,9_13    ,0_1     ,Submission              ,         1 ,            238 ,3 Rnd (5-5-5)        ,21-Jun-08 ,Men's Bout         ,Rob Kimmons
Thales Leites             ,Nate Marquardt            ,18_2_0    ,27_8_2    ,False   ,   1 ,   0 ,13_45      ,35_72      ,33_66        ,49_88        ,0 of 1   ,5 of 7   ,        2 ,        0 ,   113 ,   424 ,12_41   ,23_55   ,Decision - Split        ,         3 ,            300 ,3 Rnd (5-5-5)        ,7-Jun-08  ,Men's Bout         ,Thales Leites
Thiago Alves              ,Matt Hughes               ,15_5_0    ,42_6_0    ,False   ,   1 ,   0 ,10_16      ,9_13       ,24_31        ,18_22        ,1 of 1   ,1 of 7   ,        0 ,        0 ,    87 ,   183 ,8_14    ,2_6     ,KO/TKO                  ,         2 ,             62 ,3 Rnd (5-5-5)        ,7-Jun-08  ,Men's Bout         ,Thiago Alves
Martin Kampmann           ,Jorge Rivera              ,12_1_0    ,16_6_0    ,False   ,   0 ,   0 ,4_9        ,2_6        ,17_24        ,3_7          ,1 of 1   ,0 of 0   ,        2 ,        1 ,   127 ,     3 ,2_7     ,0_4     ,Submission              ,         1 ,            164 ,3 Rnd (5-5-5)        ,7-Jun-08  ,Men's Bout         ,Martin Kampmann
Kevin Burns               ,Roan Carneiro             ,10_4_0    ,19_7_0    ,False   ,   0 ,   0 ,8_13       ,12_30      ,55_61        ,36_57        ,0 of 0   ,2 of 6   ,        1 ,        0 ,    54 ,   423 ,7_11    ,10_28   ,Submission              ,         2 ,            230 ,3 Rnd (5-5-5)        ,7-Jun-08  ,Men's Bout         ,Kevin Burns
Michael Bisping           ,Jason Day                 ,15_1_0    ,19_10_0   ,False   ,   0 ,   0 ,25_43      ,7_12       ,40_61        ,8_13         ,2 of 2   ,0 of 0   ,        0 ,        0 ,   142 ,     3 ,18_36   ,3_7     ,KO/TKO                  ,         1 ,            222 ,3 Rnd (5-5-5)        ,7-Jun-08  ,Men's Bout         ,Michael Bisping
Matt Wiman                ,Thiago Tavares            ,9_3_0     ,14_1_0    ,False   ,   1 ,   0 ,18_34      ,13_35      ,54_73        ,39_77        ,2 of 4   ,1 of 3   ,        1 ,        3 ,    73 ,   261 ,12_26   ,11_32   ,KO/TKO                  ,         2 ,            117 ,3 Rnd (5-5-5)        ,7-Jun-08  ,Men's Bout         ,Matt Wiman
Mike Swick                ,Marcus Davis              ,11_2_0    ,19_6_0    ,False   ,   0 ,   0 ,32_86      ,31_55      ,71_131       ,82_107       ,2 of 2   ,3 of 5   ,        1 ,        2 ,   520 ,   134 ,14_61   ,20_41   ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,7-Jun-08  ,Men's Bout         ,Mike Swick
Fabricio Werdum           ,Brandon Vera              ,13_4_1    ,11_1_0    ,False   ,   0 ,   0 ,15_36      ,15_22      ,23_50        ,20_27        ,2 of 4   ,0 of 0   ,        0 ,        0 ,   133 ,    37 ,10_29   ,6_12    ,KO/TKO                  ,         1 ,            280 ,3 Rnd (5-5-5)        ,7-Jun-08  ,Men's Bout         ,Fabricio Werdum
Paul Taylor               ,Jess Liaudin              ,8_3_1     ,20_9_0    ,False   ,   1 ,   0 ,45_86      ,35_70      ,134_180      ,57_94        ,1 of 1   ,7 of 13  ,        0 ,        1 ,   189 ,   537 ,24_64   ,27_61   ,Decision - Split        ,         3 ,            300 ,3 Rnd (5-5-5)        ,7-Jun-08  ,Men's Bout         ,Paul Taylor
Antoni Hardonk            ,Eddie Sanchez             ,6_4_0     ,15_6_0    ,False   ,   1 ,   2 ,48_75      ,33_67      ,51_78        ,67_110       ,0 of 0   ,2 of 4   ,        0 ,        0 ,    43 ,   291 ,32_56   ,32_66   ,KO/TKO                  ,         2 ,            255 ,3 Rnd (5-5-5)        ,7-Jun-08  ,Men's Bout         ,Antoni Hardonk
Luiz Cane                 ,Jason Lambert             ,13_3_0    ,26_11_0   ,False   ,   3 ,   0 ,15_28      ,8_23       ,28_41        ,13_28        ,0 of 0   ,0 of 2   ,        0 ,        0 ,    54 ,    14 ,14_27   ,4_18    ,KO/TKO                  ,         1 ,            127 ,3 Rnd (5-5-5)        ,7-Jun-08  ,Men's Bout         ,Luiz Cane
Wanderlei Silva           ,Keith Jardine             ,31_9_1    ,16_6_2    ,False   ,   2 ,   0 ,11_18      ,1_4        ,11_18        ,1_4          ,0 of 0   ,0 of 0   ,        0 ,        0 ,     9 ,     0 ,11_18   ,0_3     ,KO/TKO                  ,         1 ,             36 ,3 Rnd (5-5-5)        ,24-May-08 ,Men's Bout         ,Wanderlei Silva
BJ Penn                   ,Sean Sherk                ,12_4_1    ,34_2_1    ,False   ,   1 ,   0 ,122_175    ,46_162     ,130_183      ,52_169       ,0 of 1   ,0 of 2   ,        0 ,        0 ,     7 ,     0 ,109_162 ,26_142  ,KO/TKO                  ,         3 ,            300 ,5 Rnd (5-5-5-5-5)    ,24-May-08 ,Men's Title Bout   ,BJ Penn
Rousimar Palhares         ,Ivan Salaverry            ,11_4_0    ,14_8_0    ,False   ,   0 ,   0 ,0_0        ,1_1        ,2_2          ,1_1          ,1 of 1   ,0 of 0   ,        3 ,        0 ,   137 ,     0 ,0_0     ,0_0     ,Submission              ,         1 ,            156 ,3 Rnd (5-5-5)        ,24-May-08 ,Men's Bout         ,Rousimar Palhares
Rameau Thierry Sokoudjou  ,Kazuhiro Nakamura         ,17_17_0   ,21_12_0   ,False   ,   1 ,   0 ,26_46      ,6_23       ,29_49        ,6_23         ,0 of 0   ,0 of 0   ,        0 ,        0 ,     3 ,     0 ,7_27    ,1_18    ,KO/TKO                  ,         1 ,            300 ,3 Rnd (5-5-5)        ,24-May-08 ,Men's Bout         ,Rameau Thierry Sokoudjou
Thiago Silva              ,Antonio Mendes            ,15_3_0    ,18_11_0   ,False   ,   0 ,   1 ,19_23      ,5_12       ,20_24        ,8_15         ,0 of 0   ,1 of 2   ,        1 ,        0 ,    87 ,    22 ,14_18   ,1_8     ,KO/TKO                  ,         1 ,            144 ,3 Rnd (5-5-5)        ,24-May-08 ,Men's Bout         ,Thiago Silva
Rich Clementi             ,Terry Etim                ,44_21_1   ,11_1_0    ,False   ,   0 ,   1 ,20_47      ,23_61      ,171_244      ,30_72        ,4 of 8   ,0 of 0   ,        0 ,        1 ,   593 ,    48 ,14_40   ,13_46   ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,24-May-08 ,Men's Bout         ,Rich Clementi
Goran Reljic              ,Wilson Gouveia            ,14_5_0    ,12_5_0    ,False   ,   1 ,   1 ,33_63      ,33_73      ,39_74        ,38_78        ,0 of 0   ,0 of 0   ,        0 ,        0 ,    68 ,    70 ,27_53   ,22_59   ,KO/TKO                  ,         2 ,            195 ,3 Rnd (5-5-5)        ,24-May-08 ,Men's Bout         ,Goran Reljic
Shane Carwin              ,Christian Wellisch        ,8_0_0     ,8_3_0     ,False   ,   1 ,   0 ,5_14       ,2_11       ,5_14         ,2_11         ,0 of 0   ,0 of 0   ,        0 ,        0 ,     0 ,     0 ,5_14    ,2_11    ,KO/TKO                  ,         1 ,             44 ,3 Rnd (5-5-5)        ,24-May-08 ,Men's Bout         ,Shane Carwin
Lyoto Machida             ,Tito Ortiz                ,12_0_0    ,18_6_1    ,False   ,   1 ,   0 ,41_60      ,16_53      ,67_87        ,39_76        ,1 of 1   ,0 of 7   ,        0 ,        2 ,   175 ,    19 ,18_34   ,2_35    ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,24-May-08 ,Men's Bout         ,Lyoto Machida
Dong Hyun Kim             ,Jason Tan                 ,9_0_1     ,5_2_0     ,False   ,   0 ,   0 ,77_92      ,2_14       ,159_175      ,20_32        ,3 of 3   ,0 of 6   ,        0 ,        0 ,   450 ,   109 ,74_89   ,1_13    ,KO/TKO                  ,         3 ,             25 ,3 Rnd (5-5-5)        ,24-May-08 ,Men's Bout         ,Dong Hyun Kim
Yoshiyuki Yoshida         ,War Machine               ,16_6_0    ,14_4_0    ,False   ,   0 ,   0 ,1_3        ,1_2        ,1_3          ,2_3          ,1 of 1   ,0 of 0   ,        1 ,        0 ,    38 ,     0 ,1_3     ,0_1     ,Submission              ,         1 ,             56 ,3 Rnd (5-5-5)        ,24-May-08 ,Men's Bout         ,Yoshiyuki Yoshida
Georges St-Pierre         ,Matt Serra                ,15_2_0    ,10_4_0    ,True    ,   0 ,   0 ,42_54      ,3_18       ,129_143      ,10_25        ,4 of 5   ,0 of 0   ,        0 ,        0 ,   492 ,     0 ,23_35   ,1_16    ,KO/TKO                  ,         2 ,            285 ,5 Rnd (5-5-5-5-5)    ,19-Apr-08 ,Men's Title Bout   ,Georges St-Pierre
Jason Day                 ,Alan Belcher              ,18_10_0   ,12_4_0    ,False   ,   0 ,   0 ,29_43      ,3_8        ,67_82        ,6_11         ,0 of 0   ,1 of 1   ,        0 ,        0 ,     0 ,   162 ,24_38   ,1_5     ,KO/TKO                  ,         1 ,            238 ,3 Rnd (5-5-5)        ,19-Apr-08 ,Men's Bout         ,Jason Day
Nate Quarry               ,Kalib Starnes             ,9_2_0     ,17_10_1   ,False   ,   0 ,   0 ,84_164     ,12_53      ,84_164       ,12_53        ,0 of 0   ,1 of 3   ,        0 ,        0 ,     0 ,    41 ,31_106  ,7_45    ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,19-Apr-08 ,Men's Bout         ,Nate Quarry
Rich Franklin             ,Travis Lutter             ,24_3_0    ,10_5_0    ,False   ,   1 ,   0 ,28_43      ,1_9        ,56_75        ,9_18         ,0 of 0   ,1 of 9   ,        0 ,        1 ,   126 ,   202 ,18_32   ,1_9     ,KO/TKO                  ,         2 ,            181 ,3 Rnd (5-5-5)        ,19-Apr-08 ,Men's Bout         ,Rich Franklin
Cain Velasquez            ,Brad Morris               ,2_0_0     ,10_4_0    ,False   ,   3 ,   0 ,36_55      ,1_4        ,62_83        ,1_4          ,0 of 0   ,0 of 1   ,        0 ,        0 ,   108 ,     0 ,33_52   ,1_4     ,KO/TKO                  ,         1 ,            130 ,3 Rnd (5-5-5)        ,19-Apr-08 ,Men's Bout         ,Cain Velasquez
Jason MacDonald           ,Joe Doerksen              ,22_10_0   ,50_13_0   ,False   ,   0 ,   0 ,13_17      ,4_6        ,25_29        ,11_13        ,1 of 2   ,1 of 1   ,        2 ,        3 ,    91 ,   227 ,9_13    ,1_3     ,KO/TKO                  ,         2 ,             54 ,3 Rnd (5-5-5)        ,19-Apr-08 ,Men's Bout         ,Jason MacDonald
Michael Bisping           ,Charles McCarthy          ,14_1_0    ,10_4_0    ,False   ,   1 ,   0 ,39_90      ,1_12       ,49_103       ,2_13         ,0 of 0   ,1 of 1   ,        0 ,        1 ,    72 ,    62 ,19_65   ,0_11    ,KO/TKO                  ,         1 ,            300 ,3 Rnd (5-5-5)        ,19-Apr-08 ,Men's Bout         ,Michael Bisping
Mac Danzig                ,Mark Bocek                ,17_4_1    ,5_1_0     ,False   ,   1 ,   0 ,46_88      ,22_77      ,148_190      ,27_82        ,1 of 1   ,3 of 9   ,        2 ,        0 ,   287 ,   293 ,42_83   ,15_69   ,Submission              ,         3 ,            228 ,3 Rnd (5-5-5)        ,19-Apr-08 ,Men's Bout         ,Mac Danzig
Rich Clementi             ,Sam Stout                 ,43_21_1   ,13_3_1    ,False   ,   0 ,   0 ,40_102     ,48_176     ,69_132       ,53_181       ,3 of 9   ,0 of 1   ,        3 ,        0 ,   323 ,    11 ,29_91   ,24_146  ,Decision - Split        ,         3 ,            300 ,3 Rnd (5-5-5)        ,19-Apr-08 ,Men's Bout         ,Rich Clementi
Jonathan Goulet           ,Kuniyoshi Hironaka        ,22_10_0   ,23_8_0    ,False   ,   2 ,   1 ,31_78      ,21_50      ,34_81        ,23_52        ,0 of 0   ,1 of 5   ,        0 ,        0 ,    20 ,    77 ,18_64   ,19_48   ,KO/TKO                  ,         2 ,            127 ,3 Rnd (5-5-5)        ,19-Apr-08 ,Men's Bout         ,Jonathan Goulet
Demian Maia               ,Ed Herman                 ,7_0_0     ,17_6_0    ,False   ,   0 ,   0 ,15_21      ,15_32      ,35_46        ,44_62        ,1 of 8   ,1 of 1   ,        3 ,        0 ,   184 ,   228 ,12_17   ,11_27   ,Submission              ,         2 ,            147 ,3 Rnd (5-5-5)        ,19-Apr-08 ,Men's Bout         ,Demian Maia
Kenny Florian             ,Joe Lauzon                ,8_3_0     ,16_4_0    ,False   ,   0 ,   0 ,35_74      ,5_12       ,115_165      ,9_16         ,2 of 4   ,2 of 3   ,        0 ,        2 ,   224 ,   111 ,26_65   ,5_11    ,KO/TKO                  ,         2 ,            208 ,3 Rnd (5-5-5)        ,2-Apr-08  ,Men's Bout         ,Kenny Florian
Nate Diaz                 ,Kurt Pellegrino           ,9_2_0     ,12_4_0    ,False   ,   0 ,   0 ,6_17       ,20_34      ,28_41        ,35_50        ,1 of 1   ,3 of 3   ,        1 ,        0 ,    82 ,   341 ,0_10    ,19_33   ,Submission              ,         2 ,            186 ,3 Rnd (5-5-5)        ,2-Apr-08  ,Men's Bout         ,Nate Diaz
Matt Hamill               ,Tim Boetsch               ,5_4_0     ,10_1_0    ,False   ,   0 ,   0 ,31_71      ,18_58      ,53_96        ,23_63        ,1 of 1   ,0 of 1   ,        0 ,        0 ,   157 ,     2 ,30_70   ,9_48    ,KO/TKO                  ,         2 ,             85 ,3 Rnd (5-5-5)        ,2-Apr-08  ,Men's Bout         ,Matt Hamill
James Irvin               ,Houston Alexander         ,16_7_0    ,17_12_1   ,False   ,   1 ,   0 ,3_4        ,0_1        ,3_4          ,0_1          ,0 of 0   ,0 of 0   ,        0 ,        0 ,     2 ,     0 ,3_4     ,0_1     ,KO/TKO                  ,         1 ,              8 ,3 Rnd (5-5-5)        ,2-Apr-08  ,Men's Bout         ,James Irvin
Thiago Alves              ,Karo Parisyan             ,14_5_0    ,24_9_0    ,False   ,   1 ,   0 ,17_48      ,10_45      ,17_48        ,21_56        ,0 of 0   ,1 of 4   ,        0 ,        0 ,     2 ,   115 ,12_43   ,7_42    ,KO/TKO                  ,         2 ,             24 ,3 Rnd (5-5-5)        ,2-Apr-08  ,Men's Bout         ,Thiago Alves
Josh Neer                 ,Din Thomas                ,32_10_1   ,26_8_0    ,False   ,   0 ,   0 ,80_164     ,20_84      ,124_210      ,42_111       ,3 of 4   ,2 of 5   ,        0 ,        0 ,   492 ,    93 ,60_139  ,17_81   ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,2-Apr-08  ,Men's Bout         ,Josh Neer
Gray Maynard              ,Frankie Edgar             ,4_0_0     ,8_0_0     ,False   ,   0 ,   0 ,19_65      ,26_75      ,27_74        ,31_80        ,9 of 10  ,1 of 5   ,        0 ,        0 ,   378 ,    31 ,15_58   ,20_69   ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,2-Apr-08  ,Men's Bout         ,Gray Maynard
Marcus Aurelio            ,Ryan Roberts              ,21_7_0    ,21_11_1   ,False   ,   1 ,   0 ,6_11       ,0_1        ,6_11         ,0_1          ,0 of 0   ,0 of 0   ,        1 ,        0 ,     6 ,     0 ,6_11    ,0_1     ,Submission              ,         1 ,             16 ,3 Rnd (5-5-5)        ,2-Apr-08  ,Men's Bout         ,Marcus Aurelio
Manvel Gamburyan          ,Jeff Cox                  ,10_3_0    ,10_6_0    ,False   ,   0 ,   0 ,3_4        ,2_4        ,5_6          ,3_5          ,1 of 5   ,0 of 1   ,        1 ,        0 ,    14 ,    73 ,0_1     ,0_2     ,Submission              ,         1 ,            101 ,3 Rnd (5-5-5)        ,2-Apr-08  ,Men's Bout         ,Manvel Gamburyan
Clay Guida                ,Samy Schiavo              ,22_6_0    ,10_4_0    ,False   ,   0 ,   0 ,11_26      ,4_22       ,24_39        ,4_22         ,1 of 1   ,0 of 0   ,        0 ,        0 ,   116 ,     0 ,10_24   ,4_21    ,KO/TKO                  ,         1 ,            255 ,3 Rnd (5-5-5)        ,2-Apr-08  ,Men's Bout         ,Clay Guida
